requested_ncppb_number	returned_ncppb_number	crawl_status	current_name	name_as_received	alternative_names	country	host	year_added	year_isolated	donated_by	donors_reference	isolated_by	source_if_not_isolated_by_donor	other_collections_with_this_strain	type_strain_of_species	pathotype_strain	media	reference	pathogenicity_confirmed	australia_group	detail_url	fields_json
NCPPB 2864	NCPPB 2864	ok	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		Netherlands	Chrysanthemum morifolium	1975	1975	F.Catton		F.W. Catton 211/75/2			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/2864	"{""Australia group"":""No"",""Country"":""Netherlands"",""Donated by"":""F.Catton"",""Host"":""Chrysanthemum morifolium"",""Isolated by"":""F.W. Catton 211/75/2"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas sp. Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1975"",""Year added"":""1975""}"
NCPPB 2865	NCPPB 2865	ok	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		Netherlands	Chrysanthemum morifolium	1975	1975	F.Catton		F.W. Catton 212/75/1			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/2865	"{""Australia group"":""No"",""Country"":""Netherlands"",""Donated by"":""F.Catton"",""Host"":""Chrysanthemum morifolium"",""Isolated by"":""F.W. Catton 212/75/1"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas sp. Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1975"",""Year added"":""1975""}"
NCPPB 2866	NCPPB 2866	ok	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		Netherlands	Chrysanthemum morifolium	1975	1975	F.Catton		F.W. Catton 212/75/6			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/2866	"{""Australia group"":""No"",""Country"":""Netherlands"",""Donated by"":""F.Catton"",""Host"":""Chrysanthemum morifolium"",""Isolated by"":""F.W. Catton 212/75/6"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas sp. Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1975"",""Year added"":""1975""}"
NCPPB 2877	NCPPB 2877	ok	Xanthomonas cannabis (ex Severin 1978) McKnight et al. 2026		Xanthomonas campestris pv. cannabis Severin 1978 Xanthomonas cannabis (ex Severin 1978) Jacobs et al. 2015	Romania	Cannabis sativa	1976	1974			V. Severin XC8		ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725	Yes	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/2877	"{""Australia group"":""No"",""Country"":""Romania"",""Host"":""Cannabis sativa"",""Isolated by"":""V. Severin XC8"",""Media"":""ND,YDC"",""Other collections with this strain (ref no)"":""ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725"",""Other name(s)"":""Xanthomonas campestris pv. cannabis Severin 1978 Xanthomonas cannabis (ex Severin 1978) Jacobs et al. 2015"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""Yes"",""Year Isolated"":""1974"",""Year added"":""1976""}"
NCPPB 2933	NCPPB 2933	ok	Xanthomonas hortorum Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		UK (Isle of Man)	Calendula officinalis	1977	1974	J.F. Bradbury	B6132	J.F. Bradbury B6132			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/2933	"{""Australia group"":""No"",""Country"":""UK (Isle of Man)"",""Donated by"":""J.F. Bradbury"",""Donors reference"":""B6132"",""Host"":""Calendula officinalis"",""Isolated by"":""J.F. Bradbury B6132"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas sp. Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1974"",""Year added"":""1977""}"
NCPPB 2963	NCPPB 2963	ok	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Belgium	Populus trichocarpa x Populus deltoides	1977	1963	S. Ride	S62b			ICPB XP235	No	No	AA		No	No	https://ncppb.fera.co.uk/furtherinfo/2963	"{""Australia group"":""No"",""Country"":""Belgium"",""Donated by"":""S. Ride"",""Donors reference"":""S62b"",""Host"":""Populus trichocarpa x Populus deltoides"",""Media"":""AA"",""Name as received"":""Aplanobacter populi"",""Other collections with this strain (ref no)"":""ICPB XP235"",""Other name(s)"":""Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1963"",""Year added"":""1977""}"
NCPPB 3200	NCPPB 3200	ok	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas campestris (Pammel 1895) Dowson 1939		UK ex Kenya	Chrysanthemum morifolium	1982	1979	J.F. Bradbury	B8059	J.F. Bradbury			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3200	"{""Australia group"":""No"",""Country"":""UK ex Kenya"",""Donated by"":""J.F. Bradbury"",""Donors reference"":""B8059"",""Host"":""Chrysanthemum morifolium"",""Isolated by"":""J.F. Bradbury"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris (Pammel 1895) Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1979"",""Year added"":""1982""}"
NCPPB 3218	NCPPB 3218	ok	Xanthomonas arboricola Vauterin et al. 1995	Xanthomonas campestris (Pammel 1895) Dowson 1939		Indonesia	Syzygium aromaticum (clove).	1982	1980	J.F. Bradbury	B8718	C.P. Bennett Y3			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3218	"{""Australia group"":""No"",""Country"":""Indonesia"",""Donated by"":""J.F. Bradbury"",""Donors reference"":""B8718"",""Host"":""Syzygium aromaticum (clove)."",""Isolated by"":""C.P. Bennett Y3"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris (Pammel 1895) Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1980"",""Year added"":""1982""}"
NCPPB 3339	NCPPB 3339	ok	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas campestris pv. corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	France	Corylus avellana	1984	1984			D.E. Stead			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3339	"{""Australia group"":""No"",""Country"":""France"",""Host"":""Corylus avellana"",""Isolated by"":""D.E. Stead"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. corylina"",""Other name(s)"":""Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1984"",""Year added"":""1984""}"
NCPPB 3340	NCPPB 3340	ok	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	France	Juglans regia	1984	1984			D.E. Stead			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3340	"{""Australia group"":""No"",""Country"":""France"",""Host"":""Juglans regia"",""Isolated by"":""D.E. Stead"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978"",""Other name(s)"":""Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1984"",""Year added"":""1984""}"
NCPPB 3582	NCPPB 3582	ok	Xanthomonas codiaei Vauterin et al. 1995	Xanthomonas campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. cordiae Robbs et al. 1983 not a valid name	USA	Strelitzia reginae	1988	1980	J.F. Bradbury	B8718	A.R. Chase X144			No	No	ND,YDC	Chase, A.R., Jones, J.B. 1987. Plant Disease 71: 845-847.	No	No	https://ncppb.fera.co.uk/furtherinfo/3582	"{""Australia group"":""No"",""Country"":""USA"",""Donated by"":""J.F. Bradbury"",""Donors reference"":""B8718"",""Host"":""Strelitzia reginae"",""Isolated by"":""A.R. Chase X144"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris (Pammel 1895) Dowson 1939"",""Other name(s)"":""Xanthomonas campestris pv. cordiae Robbs et al. 1983 not a valid name"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Chase, A.R., Jones, J.B. 1987. Plant Disease 71: 845-847."",""Type strain of the species"":""No"",""Year Isolated"":""1980"",""Year added"":""1988""}"
NCPPB 3722	NCPPB 3722	ok	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Norway	Begonia x Hiemalis	1990	1984	A. Sletten		A. Sletten 84-20			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3722	"{""Australia group"":""No"",""Country"":""Norway"",""Donated by"":""A. Sletten"",""Host"":""Begonia x Hiemalis"",""Isolated by"":""A. Sletten 84-20"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas begoniae Takimoto 1934"",""Other name(s)"":""Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1984"",""Year added"":""1990""}"
NCPPB 3942	NCPPB 3942	ok	Xanthomonas euvesicatoria Jones et al. 2006		Xanthomonas campestris	Barbados	Allium cepa	1996	1989	L. O'Garro		L. O'Garro W4			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3942	"{""Australia group"":""No"",""Country"":""Barbados"",""Donated by"":""L. O'Garro"",""Host"":""Allium cepa"",""Isolated by"":""L. O'Garro W4"",""Media"":""ND,YDC"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1989"",""Year added"":""1996""}"
NCPPB 3943	NCPPB 3943	ok	Xanthomonas euvesicatoria Jones et al. 2006		Xanthomonas campestris	Barbados	Allium cepa	1996	1989	L. O'Garro		L. O'Garro G6			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3943	"{""Australia group"":""No"",""Country"":""Barbados"",""Donated by"":""L. O'Garro"",""Host"":""Allium cepa"",""Isolated by"":""L. O'Garro G6"",""Media"":""ND,YDC"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1989"",""Year added"":""1996""}"
NCPPB 3957	NCPPB 3957	ok	Xanthomonas translucens (ex Jones et al. 1917) Vauterin et al. 1995	Xanthomonas campestris pv. undetermined		Zambia	Hordeum vulgare	1996		J. Kolkowski, IMI	IMI B11059	J.Bradbury			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3957	"{""Australia group"":""No"",""Country"":""Zambia"",""Donated by"":""J. Kolkowski, IMI"",""Donors reference"":""IMI B11059"",""Host"":""Hordeum vulgare"",""Isolated by"":""J.Bradbury"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. undetermined"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1996""}"
NCPPB 3958	NCPPB 3958	ok	Acidovorax sp. Willems et al. 1990 emend. Willems et al. 1992	Xanthomonas campestris pv. vasculorum (unlike translucens group)		Zambia	Triticale	1997		J. Kolkowski, IMI	IMI B10636a	J.Bradbury			No	No			No	No	https://ncppb.fera.co.uk/furtherinfo/3958	"{""Australia group"":""No"",""Country"":""Zambia"",""Donated by"":""J. Kolkowski, IMI"",""Donors reference"":""IMI B10636a"",""Host"":""Triticale"",""Isolated by"":""J.Bradbury"",""Media"":""NA"",""Name as received"":""Xanthomonas campestris pv. vasculorum (unlike translucens group)"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1997""}"
NCPPB 3959	NCPPB 3959	ok	Xanthomonas hortorum Vauterin et al. 1995	Xanthomonas campestris pv undetermined	Xanthomonas campestris	New Zealand	Persea americana	1996		J. Kolkowski, IMI	IMI B102166	J.Bradbury			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/3959	"{""Australia group"":""No"",""Country"":""New Zealand"",""Donated by"":""J. Kolkowski, IMI"",""Donors reference"":""IMI B102166"",""Host"":""Persea americana"",""Isolated by"":""J.Bradbury"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv undetermined"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1996""}"
NCPPB 4182	NCPPB 4182	ok	Xanthomonas arboricola pv. fragariae Janse et al 2001	Xanthomonas arboricola pv fragariae Janse et al 2001		Italy	Fragaria (x)ananassa	2000	1999		PD2803	JD Janse			No	No	ND,YPG		No	No	https://ncppb.fera.co.uk/furtherinfo/4182	"{""Australia group"":""No"",""Country"":""Italy"",""Donors reference"":""PD2803"",""Host"":""Fragaria (x)ananassa"",""Isolated by"":""JD Janse"",""Media"":""ND,YPG"",""Name as received"":""Xanthomonas arboricola pv fragariae Janse et al 2001"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1999"",""Year added"":""2000""}"
NCPPB 4326	NCPPB 4326	ok	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978	Xanthomonas campestris pv. zantedeschiae		Taiwan, Republic of China	Zantedeschia aethiopica (White flowered calla lily	2004	2002	Professor Yung-An Lee	Xcz A5				No	No	ND,YDC	Lee, Y.-A., K.-P. Chen and Y.-C Chang. 2004. First report of bacterial leaf blight of white flowered	Yes	No	https://ncppb.fera.co.uk/furtherinfo/4326	"{""Australia group"":""No"",""Country"":""Taiwan, Republic of China"",""Donated by"":""Professor Yung-An Lee"",""Donors reference"":""Xcz A5"",""Host"":""Zantedeschia aethiopica (White flowered calla lily"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. zantedeschiae"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""No"",""Reference"":""Lee, Y.-A., K.-P. Chen and Y.-C Chang. 2004. First report of bacterial leaf blight of white flowered"",""Type strain of the species"":""No"",""Year Isolated"":""2002"",""Year added"":""2004""}"
NCPPB 4345	NCPPB 4345	ok	Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984	Xanthomonas campestris pv. cannae		India	Canna x generalis	2006	1981	R. Easwaramurthy	1	R. Easwaramurthy	ICMP	ICMP 8306. LMG 9043	Yes	Yes	ND,YDC	Curr. Sci. 53: 708-709. 1984	Yes	No	https://ncppb.fera.co.uk/furtherinfo/4345	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""R. Easwaramurthy"",""Donors reference"":""1"",""Host"":""Canna x generalis"",""Isolated by"":""R. Easwaramurthy"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. cannae"",""Other collections with this strain (ref no)"":""ICMP 8306. LMG 9043"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""Yes"",""Reference"":""Curr. Sci. 53: 708-709. 1984"",""Source (if not isolated by donor)"":""ICMP"",""Type strain of the species"":""Yes"",""Year Isolated"":""1981"",""Year added"":""2006""}"
NCPPB 4347	NCPPB 4347	ok	Xanthomonas campestris pv. malloti Goto 1993	Xanthomonas campestris pv. malloti		Japan	Mallotus japonicus (Thunb.) Muell.-Arg (East Asian	2006		M. Goto	Ma 2	M. Goto	ICMP	ICMP 11536, ATCC 51262	No	Yes	ND,YDC	Ann. Phytopath. Soc. Jpn. 59: 678-680. 1993	Yes	No	https://ncppb.fera.co.uk/furtherinfo/4347	"{""Australia group"":""No"",""Country"":""Japan"",""Donated by"":""M. Goto"",""Donors reference"":""Ma 2"",""Host"":""Mallotus japonicus (Thunb.) Muell.-Arg (East Asian"",""Isolated by"":""M. Goto"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. malloti"",""Other collections with this strain (ref no)"":""ICMP 11536, ATCC 51262"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""Yes"",""Reference"":""Ann. Phytopath. Soc. Jpn. 59: 678-680. 1993"",""Source (if not isolated by donor)"":""ICMP"",""Type strain of the species"":""No"",""Year added"":""2006""}"
NCPPB 4349	NCPPB 4349	ok	Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023	Xanthomonas campestris pv. pennamericanum	Xanthomonas campestris pv. pennamericanum Qhobela & Claflin 1988	Nigeria	Pennisetum americanum (L.) K. Schum. (pearl mille	2006	1984	L.E.Claflin	B6	L.E.Claflin	ICMP	ICMP 9627, ATCC 49152	No	Yes	ND,YDC	Int. J. Syst. Bact. 38: 362-366, 1998	Yes	No	https://ncppb.fera.co.uk/furtherinfo/4349	"{""Australia group"":""No"",""Country"":""Nigeria"",""Donated by"":""L.E.Claflin"",""Donors reference"":""B6"",""Host"":""Pennisetum americanum (L.) K. Schum. (pearl mille"",""Isolated by"":""L.E.Claflin"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. pennamericanum"",""Other collections with this strain (ref no)"":""ICMP 9627, ATCC 49152"",""Other name(s)"":""Xanthomonas campestris pv. pennamericanum Qhobela & Claflin 1988"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""Yes"",""Reference"":""Int. J. Syst. Bact. 38: 362-366, 1998"",""Source (if not isolated by donor)"":""ICMP"",""Type strain of the species"":""No"",""Year Isolated"":""1984"",""Year added"":""2006""}"
NCPPB 4416	NCPPB 4416	ok	Xanthomonas campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv.chieranthii			Wallflower	2008	1990	J. E. Sellwood	A4833/A		CSL	A4833/A	No	No	ND,YDC		Yes	No	https://ncppb.fera.co.uk/furtherinfo/4416	"{""Australia group"":""No"",""Donated by"":""J. E. Sellwood"",""Donors reference"":""A4833/A"",""Host"":""Wallflower"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv.chieranthii"",""Other collections with this strain (ref no)"":""A4833/A"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""No"",""Source (if not isolated by donor)"":""CSL"",""Type strain of the species"":""No"",""Year Isolated"":""1990"",""Year added"":""2008""}"
NCPPB 4661	NCPPB 4661	ok	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris		USA	Brassica oleracea	2018	1994	J D Taylor	WHRI 3811	P. Williams		PHW 1205	No	No		https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO.2001.91.5.492 https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-96-0735 https://bsppjournals.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1364-3703.2012.00833.x https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-94-3-0298 https://www.ncbi.nlm.nih.gov/search/all/?term=CP025750 https://apsjournals.apsnet.org/doi/epdf/10.1094/MPMI-07-19-0177-A	Yes	No	https://ncppb.fera.co.uk/furtherinfo/4661	"{""Australia group"":""No"",""Country"":""USA"",""Donated by"":""J D Taylor"",""Donors reference"":""WHRI 3811"",""Host"":""Brassica oleracea"",""Isolated by"":""P. Williams"",""Name as received"":""Xanthomonas campestris pv. campestris"",""Other collections with this strain (ref no)"":""PHW 1205"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""No"",""Reference"":""https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO.2001.91.5.492 https://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-96-0735 https://bsppjournals.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1364-3703.2012.00833.x https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-94-3-0298 https://www.ncbi.nlm.nih.gov/search/all/?term=CP025750 https://apsjournals.apsnet.org/doi/epdf/10.1094/MPMI-07-19-0177-A"",""Type strain of the species"":""No"",""Year Isolated"":""1994"",""Year added"":""2018""}"
NCPPB 4826	NCPPB 4826	ok	Xanthomonas sp. Dowson 1939 (Approved Lists 1980)	Xanthomonas sp. 10-10		Canada	Ambrosia artemisiifolia (common ragweed)	2026	2023	Martin Laforest	Xanthomonas sp. 10-10	Melanie Cadieux	Agriculture and Agri-Food Canada		No	No	NA,ND,YDC	Biessy, A., Cadieux, M., Ciotola, M., McDuff, F., Soufiane, B., Laforest, M. et al. (2025) Characterization of a plant pathogenic T3SS-lacking Xanthomonas strain isolated from common ragweed. Plant Pathology, 74, 308319. Available from: https://doi.org/10.1111/ppa.14020	No	No	https://ncppb.fera.co.uk/furtherinfo/4826	"{""Australia group"":""No"",""Country"":""Canada"",""Donated by"":""Martin Laforest"",""Donors reference"":""Xanthomonas sp. 10-10"",""Host"":""Ambrosia artemisiifolia (common ragweed)"",""Isolated by"":""Melanie Cadieux"",""Media"":""NA,ND,YDC"",""Name as received"":""Xanthomonas sp. 10-10"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Biessy, A., Cadieux, M., Ciotola, M., McDuff, F., Soufiane, B., Laforest, M. et al. (2025) Characterization of a plant pathogenic T3SS-lacking Xanthomonas strain isolated from common ragweed. Plant Pathology, 74, 308319. Available from: https://doi.org/10.1111/ppa.14020"",""Source (if not isolated by donor)"":""Agriculture and Agri-Food Canada"",""Type strain of the species"":""No"",""Year Isolated"":""2023"",""Year added"":""2026""}"
NCPPB 4830	NCPPB 4830	ok	Xanthomonas hydrangeae Dia et al, 2022	Xanthomonas hydrangeae		Netherlands	Hydrangea quercifolia	2025	2021	Sarah Carroll	2021022873	Sarah Carroll	Fera		No	No	NA,ND		No	No	https://ncppb.fera.co.uk/furtherinfo/4830	"{""Australia group"":""No"",""Country"":""Netherlands"",""Donated by"":""Sarah Carroll"",""Donors reference"":""2021022873"",""Host"":""Hydrangea quercifolia"",""Isolated by"":""Sarah Carroll"",""Media"":""NA,ND"",""Name as received"":""Xanthomonas hydrangeae"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Source (if not isolated by donor)"":""Fera"",""Type strain of the species"":""No"",""Year Isolated"":""2021"",""Year added"":""2025""}"
