review_priority	ncppb_number	ncppb_current_name	biosample_accession	organism	automatic_decision	matched_identifier	matched_identifier_type	matched_field	evidence_class	taxonomy_status	pathovar_status	review_reason	biosample_url	review_question	reviewer_decision	reviewer_notes
P2	NCPPB 3304	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	SAMN06237132	Xanthomonas oryzae pv. oryzae	review	PXO86	donor_reference	strain	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN06237132	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3440	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354570	Xanthomonas sp. WHRI 8393	accept	NCPPB 3440	ncppb_number	identity_aliases	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354570	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3595	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN30096794	Xanthomonas citri pv. punicae	review	XCP1	isolate_code	strain	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	medium_identifier_requires_corroboration; pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN30096794	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 3640	Xanthomonas campestris pv. parthenii Chand et al. 1995	SAMN30096796	Xanthomonas citri pv. punicae	review	XCP3	donor_reference	strain	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	medium_identifier_requires_corroboration; pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN30096796	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 3641	Xanthomonas campestris pv. parthenii Chand et al. 1995	SAMN30096797	Xanthomonas citri pv. punicae	review	XCP4	donor_reference	strain	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	medium_identifier_requires_corroboration; pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN30096797	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 3753	Xanthomonas campestris pv. cannabis Severin 1978	SAMN03164132	Xanthomonas cannabis pv. cannabis	accept	NCPPB 3753	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164132	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3759	Xanthomonas euvesicatoria pv. obscurae (Chand & Singh 1994) Harrison et al. 2023	SAMN19988984	Xanthomonas campestris pv. obscurae	accept	NCPPB 3759	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988984	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3795	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175582	Xanthomonas campestris pv. fici	accept	NCPPB 3795	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175582	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3796	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175583	Xanthomonas campestris pv. fici	accept	NCPPB 3796	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175583	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3797	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175584	Xanthomonas campestris pv. fici	accept	NCPPB 3797	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175584	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3886	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175585	Xanthomonas campestris pv. fici	accept	NCPPB 3886	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175585	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3887	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175586	Xanthomonas campestris pv. fici	accept	NCPPB 3887	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175586	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4231	Xanthomonas sp. Dowson 1939	SAMN22552841	Xanthomonas campestris	accept	NCPPB 4231	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552841	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4232	Xanthomonas sp. Dowson 1939	SAMN22552842	Xanthomonas campestris	accept	NCPPB 4232	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552842	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4322	Xanthomonas euvesicatoria pv. perforans (Jones et al. 2006) Constantin et al. 2016 comb. nov.	SAMN23026091	Xanthomonas perforans	review	XV1220	donor_reference	strain	structured_exact_identifier	compatible_synonym	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN23026091	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4346	Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991	SAMN03862116	Xanthomonas oryzae	accept	NCPPB 4346	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN03862116	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4346	Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991	SAMN10956069	Xanthomonas oryzae	accept	NCPPB 4346	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN10956069	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4393	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00752561	Xanthomonas sacchari NCPPB 4393	accept	NCPPB 4393	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN00752561	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4393	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN02471171	Xanthomonas sacchari NCPPB 4393	accept	NCPPB 4393	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN02471171	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4410	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354567	Xanthomonas sp. WHRI 8356	review	8356	donor_reference	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	medium_identifier_requires_corroboration; same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354567	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4449	Xanthomonas cerealis pv. pistaciae Tambong et al. 2024	SAMN21172023	Xanthomonas cerealis pv. cerealis	accept	ICMP 16317	collection_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN21172023	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 4594	Xanthomonas sp. Dowson 1939	SAMN56511377	Xanthomonas cannabis pv. phaseoli	accept	NCPPB 4594	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511377	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4614	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357978	Xanthomonas vasicola	review	SAM119	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357978	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4615	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN25050887	Xanthomonas campestris	review	B100	donor_reference	title	unstructured_exact_identifier	same_name	observed_pathovar_unresolved	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMN25050887	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 4678	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN49888164	Xanthomonas campestris pv. campestris	review	NCPPB 4678	ncppb_number	title	unstructured_exact_identifier	same_name	same_pathovar	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMN49888164	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 4679	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN49888165	Xanthomonas campestris pv. campestris	review	NCPPB 4679	ncppb_number	title	unstructured_exact_identifier	same_name	same_pathovar	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMN49888165	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 4681	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN17198915	Xanthomonas campestris pv. campestris	review	Xc27	donor_reference	identifiers	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN17198915	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4681	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN17198916	Xanthomonas campestris pv. campestris	review	Xc27	donor_reference	identifiers	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN17198916	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4681	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN17198917	Xanthomonas campestris pv. campestris	review	Xc27	donor_reference	identifiers	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN17198917	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4704	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357988	Xanthomonas vasicola	review	Co-126-2	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357988	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4705	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN07735936	Xanthomonas vasicola pv. vasculorum	review	Arg-1A	donor_reference	strain	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN07735936	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4705	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357994	Xanthomonas vasicola	review	Arg-1A	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357994	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4707	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357996	Xanthomonas vasicola	review	ARG-3A	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357996	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4709	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN36358007	Xanthomonas vasicola	review	NE-18 Xvh	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36358007	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4710	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN08773711	Xanthomonas vasicola pv. vasculorum	review	Arg-2B	donor_reference	strain	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN08773711	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4710	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357995	Xanthomonas vasicola	review	Arg-2B	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357995	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4710	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701295	Xanthomonas vasicola pv. vasculorum	review	Arg-2B	donor_reference	strain	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36701295	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4712	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN08773805	Xanthomonas vasicola pv. vasculorum	review	ARG-6B	donor_reference	strain	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN08773805	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4712	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357998	Xanthomonas vasicola	review	ARG-6B	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357998	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4712	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701296	Xanthomonas vasicola pv. vasculorum	review	ARG-6B	donor_reference	strain	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36701296	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4714	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357997	Xanthomonas vasicola	review	ARG 4B	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357997	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4716	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357991	Xanthomonas vasicola	review	NE-16	donor_reference	strain	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN36357991	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 4771	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN53688592	Xanthomonas campestris	review	2023027163	donor_reference	identifiers	structured_exact_identifier	same_name	observed_pathovar_unresolved	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMN53688592	Does the structured evidence support retaining this BioSample as a strain-level match?		
