ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains	reviewer_decision	reviewer_notes
NCPPB 3435	NETO 250	NETO250	collection_candidate	collection_list	1	62	70	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3435		
NCPPB 3457	M21	M21	isolate_code	isolated_by	1	39	42	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3457		
NCPPB 3559	507	507	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3559		
NCPPB 3560	ICMP 9261	ICMP9261	collection_number	collection_list	2	74	83	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 3560; NCPPB 4351		
NCPPB 3566	IIHXCCRI	IIHXCCRI	donor_reference	donor_reference	1	23	31	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 3566		
NCPPB 3567	IIHXCCL	IIHXCCL	donor_reference	donor_reference	1	23	30	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 3567		
NCPPB 3568	IIHXCCCN	IIHXCCCN	donor_reference	donor_reference	1	23	31	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 3568		
NCPPB 3569	1	1	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3569		
NCPPB 3570	2	2	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3570		
NCPPB 3586	CVCPB 1806	CVCPB1806	collection_candidate	collection_list	1	41	51	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3586		
NCPPB 3587	CVCPB 1696	CVCPB1696	collection_candidate	collection_list	1	41	51	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3587		
NCPPB 3588	X24	X24	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3588		
NCPPB 3589	X37	X37	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3589		
NCPPB 3595	11H	11H	isolate_code	isolated_by	1	39	42	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3595		
NCPPB 3742	XC-8	XC8	isolate_code	source_of_isolate	2	77	81	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3742		
NCPPB 3786	9	9	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3786		
NCPPB 3800	13	13	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3800		
NCPPB 3801	14	14	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3801		
NCPPB 3925	RCCP	RCCP	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 3925		
NCPPB 3926	RCIPO	RCIPO	donor_reference	donor_reference	1	23	28	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 3926		
NCPPB 3942	W4	W4	isolate_code	isolated_by	1	40	42	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3942		
NCPPB 3943	G6	G6	isolate_code	isolated_by	1	40	42	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3943		
NCPPB 3944	58B	58B	isolate_code	isolated_by	1	43	46	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3944		
NCPPB 4013	6	6	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4013		
NCPPB 4014	SB-K	SBK	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 4014		
NCPPB 4015	M-9	M9	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4015		
NCPPB 4181	463	463	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4181		
NCPPB 4183	17065	17065	collection_candidate	collection_list	2	71	76	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4183		
NCPPB 4343	Samson 1601.1	SAMSON16011	collection_candidate	collection_list	2	93	106	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4343		
NCPPB 4345	1	1	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4345		
NCPPB 4346	G2	G2	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4346		
NCPPB 4347	Ma 2	MA2	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4347		
NCPPB 4348	ITCC	ITCC	collection_number	collection_list	1	52	56	comparison_only_no_source_edit	review_required	strong	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4348		
NCPPB 4349	B6	B6	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4349		
NCPPB 4351	FC1	FC1	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4351		
NCPPB 4351	IBSF 575	IBSF575	collection_candidate	collection_list	2	79	87	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4351		
NCPPB 4351	ICMP 9261	ICMP9261	collection_number	collection_list	2	68	77	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 3560; NCPPB 4351		
NCPPB 4352	Zo2	ZO2	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4352		
NCPPB 4353	NZRCC 10488	NZRCC10488	collection_candidate	collection_list	2	89	100	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4353		
NCPPB 4353	TC1	TC1	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4353		
NCPPB 4372	618	618	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4372		
NCPPB 4375	FDC 012	FDC012	collection_candidate	collection_list	2	81	88	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4375		
NCPPB 4377	Xc 90-78-4-3	XC907843	collection_candidate	collection_list	2	81	93	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4377		
NCPPB 4405	Latch PRGRQ	LATCHPRGRQ	collection_candidate	collection_list	2	84	95	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4405		
NCPPB 4407	Beramis 6	BERAMIS6	collection_candidate	collection_list	2	72	81	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4407		
NCPPB 4407	VdM9	VDM9	collection_candidate	collection_list	2	83	87	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4407		
NCPPB 4409	ISPAVE-B-641	ISPAVEB641	collection_candidate	collection_list	2	85	97	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4409		
NCPPB 4409	SWINGS R-5214	SWINGSR5214	collection_candidate	collection_list	2	107	120	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4409		
NCPPB 4414	B950367	B950367	collection_candidate	collection_list	2	77	84	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4414		
NCPPB 4415	A4833/B	A4833B	collection_candidate	collection_list	2	76	83	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4415		
NCPPB 4433	Cabi 395428	CABI395428	collection_candidate	collection_list	2	73	84	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4433		
NCPPB 4434	BXWK1	BXWK1	collection_candidate	collection_list	2	73	78	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4434		
NCPPB 4450	A4832/1	A48321	donor_reference	donor_reference	1	23	30	comparison_only_no_source_edit	review_required	medium	high	no	identifier_collision	2	NCPPB 4450; NCPPB 4451		
NCPPB 4450	Protect 763	PROTECT763	collection_candidate	collection_list	2	72	83	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4450		
NCPPB 4451	A4832/1	A48321	donor_reference	donor_reference	1	23	30	comparison_only_no_source_edit	review_required	medium	high	no	identifier_collision	2	NCPPB 4450; NCPPB 4451		
NCPPB 4451	Protect 764	PROTECT764	collection_candidate	collection_list	2	72	83	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4451		
NCPPB 4466	64A	64A	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4466		
NCPPB 4468	P2431	P2431	collection_candidate	collection_list	2	74	79	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4468		
NCPPB 4584	7384	7384	collection_candidate	collection_list	2	84	88	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4584		
NCPPB 4594	NYAGA S	NYAGAS	donor_reference	donor_reference	1	23	30	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 4594		
NCPPB 4629	NZRCC 10647	NZRCC10647	collection_candidate	collection_list	2	95	106	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4629		
NCPPB 4633	CFPB 7263 NZRCC 10646 PDDCC 6759	CFPB7263NZRCC10646PDDCC6759	collection_candidate	collection_list	2	85	117	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4633		
NCPPB 4635	XT3	XT3	isolate_code	isolated_by	3	122	125	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4635		
NCPPB 4675	CCOS 1891	CCOS1891	collection_candidate	collection_list	2	94	103	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4675		
NCPPB 4676	CBPF 1521	CBPF1521	collection_candidate	collection_list	2	74	83	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4676		
NCPPB 4676	CCOS 1894	CCOS1894	collection_candidate	collection_list	2	96	105	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4676		
NCPPB 4678	Xc6	XC6	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4678		
NCPPB 4679	Xc9	XC9	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4679		
NCPPB 4692	CCOS 1956	CCOS1956	collection_candidate	collection_list	2	85	94	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4692		
NCPPB 4693	CCOS 1957	CCOS1957	collection_candidate	collection_list	2	85	94	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4693		
NCPPB 4706	CO-8	CO8	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4706		
NCPPB 4711	NE-7	NE7	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 4711		
NCPPB 4753	CECT 9404	CECT9404	collection_candidate	collection_list	2	85	94	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4753		
NCPPB 4753	IVIA 3287.1	IVIA32871	collection_candidate	collection_list	2	96	107	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4753		
NCPPB 4754	CECT 9405	CECT9405	collection_candidate	collection_list	2	85	94	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4754		
NCPPB 4754	IVIA 3287.2	IVIA32872	collection_candidate	collection_list	2	96	107	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4754		
NCPPB 4755	CECT 9406	CECT9406	collection_candidate	collection_list	2	85	94	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4755		
NCPPB 4755	IVIA 3287.3	IVIA32873	collection_candidate	collection_list	2	96	107	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 4755		
