ncppb_number	current_name_raw	canonical_name	name_as_received	alternative_names	expected_genus	expected_taxid	host	country	other_references_raw	catalogue_url	source_snapshot_sha256	record_html_start	record_html_end
NCPPB 970	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas hortorum	X. lactucaescariolae	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas		Lactuca sp. (wild lettuce).	USA	This isolate was isolated by ex H.H. Thornberry 1-49	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=970		491582	494800
NCPPB 971	Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas maculifoliigardeniae Ark & Barrett 1946	Xanthomonas campestris pv. maculifoliigardeniae (Ark & Barrett 1946) Dye 1978	Xanthomonas		Gardenia sp	USA	"This isolate is also in the collections; ICMP 318, LMG 758
This isolate was isolated by ex P.A. Ark 1"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=971		494800	498470
NCPPB 972	Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas maculifoliigardeniae Ark & Barrett 1946	Xanthomonas campestris pv. maculifoliigardeniae (Ark & Barrett 1946) Dye 1978	Xanthomonas		Gardenia sp.	USA	This isolate was isolated by ex P.A. Ark 2	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=972		498470	501750
NCPPB 973	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Xanthomonas		Hordeum vulgare	USA	"This isolate is also in the collections; ATCC 19319, ICMP 5752, LMG 876, DSM 18974, CFBP 1155
This isolate was isolated by ex C.S. Reddy"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=973		501750	505104
NCPPB 974	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Xanthomonas		Secale cereale.	Canada	"This isolate was isolated by ex Z. Patrick
The source of this isolate was ex W.H. Burkholder"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=974		505104	508414
NCPPB 975	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939		Xanthomonas		Capsicum frutescens	USA	This isolate was isolated by ex W.H. Burkholder	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=975		508414	511151
NCPPB 976	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas citri	Xanthomonas vitians (Brown 1918) Dowson 1943	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas		Lactuca sp. (Lettuce)	USA	"This isolate is also in the collections; ATCC 19320, ICMP 336, LMG 937, CFBP 2538
This isolate was isolated by ex N.A. Brown
The source of this isolate was ex W.H. Burkholder"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=976		511151	515022
NCPPB 983	Xanthomonas campestris pv. barbareae (Burkholder 1941) Dye 1978	Xanthomonas campestris	Xanthomonas barbareae Burkholder 1941		Xanthomonas		Barbarea vulgaris	USA	"This isolate is also in the collections; ATCC 13460, ICMP 437
This isolate was isolated by ex W.H. Burkholder"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=983		515022	517821
NCPPB 984	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	Xanthomonas		Corylus maxima.	USA	This isolate was isolated by ex S. Dombroff Oregan 5401	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=984		517821	521062
NCPPB 985	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas dieffenbachiae McCulloch & Pirone 1939	Xanthomonas campestris pv. dieffenbachiae (McCulloch & Pirone 1939) Dye 1978	Xanthomonas		Dieffenbachia sp.	USA	"This isolate is also in the collections; ATCC 23379, LMG 7399, CFBP 7666
This isolate was isolated by P.A. Ark"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=985		521062	524427
NCPPB 986	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas dieffenbachiae McCulloch & Pirone 1939	Xanthomonas campestris pv. dieffenbachiae (McCulloch & Pirone 1939) Dye 1978	Xanthomonas		Dieffenbachia sp.	USA	This isolate was isolated by ex P.A. Ark Cardona 2	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=986		524427	527728
NCPPB 987	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas hortorum	Xanthomonas hederae	Xanthomonas campestris pv. hederae (Arnaud 1920) Dye 1978	Xanthomonas		Hedera helix	USA	"This isolate is also in the collections; ATCC 9653, LMG 7411, ICMP 454
This isolate was isolated by ex W.H. Burkholder XH6"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=987		527728	531018
NCPPB 989	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola	Xanthomonas holcicola Elliott 1930	Xanthomonas campestris pv. holcicola (Elliott 1930) Dye 1978	Xanthomonas		Holcus sp.	USA	"This isolate is also in the collections; ATCC 13461, VKM B-618, ICMP 451, LMG 7416,
This isolate was isolated by ex W.H. Burkholder"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=989		531018	534336
NCPPB 990	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas campestris	Xanthomonas incanae (Kendrick & Baker 1942) Starr & Weiss 1943		Xanthomonas		Matthiola sp	USA	This isolate was isolated by ex W.H. Burkholder St3	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=990		534336	537097
NCPPB 993	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas lespedezae Ayers et al. 1939	Xanthomonas campestris pv. lespedezae (Ayers et al. 1939) Dye 1978	Xanthomonas		Lespedeza sp. (Korean lespediza)	USA	"This isolate is also in the collections; ATCC 13463, ICMP 439, LMG 757
This isolate was isolated by ex C. Lefebvre"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=993		537097	540441
NCPPB 994	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas melhusii Patel et al. 1952	Xanthomonas campestris pv. melhusii (Patel et al. 1952) Dye 1978	Xanthomonas		Tectona grandis	India	"This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050
The source of this isolate was ex M.K. Patel 14"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=994		540441	543768
NCPPB 1009	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas campestris			Xanthomonas		Zinnia sp.	Zimbabwe	"This isolate is also in the collections; ICMP 1623
The source of this isolate was ex W.J. Dowson"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1009		543768	546522
NCPPB 1014	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas campestris			Xanthomonas		Vitis woodrowii	India	"This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954
The source of this isolate was ex M.K. Patel 19"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1014		546522	549074
NCPPB 1025	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. botrytis	Malawi	"The donor reference is B565
This isolate was isolated by ex C. Polhill"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1025		549074	551863
NCPPB 1043	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea	Papa New Guinea	This isolate was isolated by A.C. Hayward B621	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1043		551863	554860
NCPPB 1046	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Saccharum officinarum	India	"The donor reference is B589
This isolate was isolated by ex G. Rangaswami"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1046		554860	558166
NCPPB 1048	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium hirsutum.	Zambia	This isolate was isolated by A.C. Hayward B639	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1048		558166	561751
NCPPB 1050	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	Xanthomonas albilineans		Xanthomonas		Saccharum sp.	Guyana	"The donor reference is B672
This isolate was isolated by ex S. Bisessar"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1050		561751	564476
NCPPB 1056	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas		Phaseolus vulgaris	Ethiopia	"This isolate is also in the collections; LMG 7457
This isolate was isolated by A.C. Hayward B665B"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1056		564476	568279
NCPPB 1058	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas		Phaseolus vulgaris	Ethiopia	This isolate was isolated by A.C. Hayward B659	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1058		568279	571811
NCPPB 1059	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris			Xanthomonas		Papaver somniferum	Ethiopia	"This isolate is also in the collections; ICPB XP198
This isolate was isolated by A.C. Hayward B658"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1059		571811	574349
NCPPB 1060	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola	Xanthomonas holcicola Elliott 1930	Xanthomonas campestris pv. holcicola (Elliott 1930) Dye 1978	Xanthomonas		Sorghum vulgare.	Ethiopia	This isolate was isolated by A.C. Hayward B657	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1060		574349	577591
NCPPB 1061	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	Xanthomonas campestris	Xanthomonas plantaginis (Thornberry & Anderson 1937) Burkholder 1948		Xanthomonas		Plantago lanceolata	Ethiopia	"This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848
This isolate was isolated by A.C. Hayward B652"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1061		577591	580744
NCPPB 1062	Xanthomonas sp. Dowson 1939	Xanthomonas sp	Xanthomonas sp.	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Dioscorea esculenta	Papua New Guinea	This isolate was isolated by A.C. Hayward B644	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1062		580744	584346
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Xanthomonas		Ricinus communis	Ethiopia	"This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747
This isolate was isolated by A.C. Hayward B651"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1063		584346	588042
NCPPB 1067	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Raphanus sativus (Chinese radish)	New Hebrides	This isolate was isolated by A.C. Hayward B707A	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1067		588042	591308
NCPPB 1068	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Nicotiana tabacum	Malawi	"This isolate is also in the collections; ICMP 18269
This isolate was isolated by A.C. Hayward B689A"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1068		591308	594653
NCPPB 1117	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Saccharum officinarum	India	"The donor reference is B828
This isolate was isolated by ex G. Rangaswami"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1117		594653	597961
NCPPB 1124	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri	X. phaseoli f.sp. sojense	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas		Glycine max	Zambia	This isolate was isolated by A.C. Hayward B724A	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1124		597961	601200
NCPPB 1128	Xanthomonas sp. Dowson 1939	Xanthomonas sp	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas		Phaseolus vulgaris	Jamaica	This isolate was isolated by A.C. Hayward B791	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1128		601200	604763
NCPPB 1129	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea	Uganda	This isolate was isolated by A.C. Hayward B784	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1129		604763	607510
NCPPB 1131	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Musa paradisiaca	Eastern Samoa	This isolate was isolated by A.C. Hayward B720	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1131		607510	610778
NCPPB 1132	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Musa canksii var. samoensis	Western Samoa	This isolate was isolated by A.C. Hayward B719	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1132		610778	614037
NCPPB 1135	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri	X. phaseoli f.sp. sojense	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas		Glycine max.	Zambia	This isolate was isolated by A.C. Hayward B740B	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1135		614037	617277
NCPPB 1136	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri	X. phaseoli f.sp. sojense	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas		Glycine javanica	Zimbabwe	This isolate was isolated by A.C. Hayward B809A	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1136		617277	620523
NCPPB 1138	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas		Phaseolus vulgaris	Zambia	This isolate was isolated by A.C. Hayward B727	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1138		620523	624028
NCPPB 1141	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri	X. phaseoli f.sp. sojense	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas		Glycine max	Zambia	"This isolate is also in the collections; ICPB XP202
This isolate was isolated by A.C. Hayward B745"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1141		624028	627322
NCPPB 1143	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. botrytis	UK	This isolate was isolated by L.A.E. Baker X3	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1143		627322	630077
NCPPB 1144	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. capitata	UK	This isolate was isolated by L.A.E. Baker X9	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1144		630077	632832
NCPPB 1145	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. botrytis	UK	This isolate was isolated by L.A.E. Baker X10	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1145		632832	635588
NCPPB 1146	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. capitata	UK	This isolate was isolated by L.A.E. Baker XII	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1146		635588	638344
NCPPB 1147	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. capitata	UK	This isolate was isolated by L.A.E. Baker X13	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1147		638344	641100
NCPPB 1148	Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas martyniicola Moniz & Patel 1958	Xanthomonas campestris pv. martyniicola (Moniz & Patel 1958) Dye 1978	Xanthomonas		Martynia diandra Gloxin (Cat's claw)	India	"The donor reference is XGl
This isolate is also in the collections; ICMP 82, LMG 9049
This isolate was isolated by ex D.P. Bhide"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1148		641100	644710
NCPPB 1149	Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978	Xanthomonas campestris			Xanthomonas		Vitis carnosa	India	"The donor reference is XHl
This isolate is also in the collections; ICMP 90, LMG 939
The source of this isolate was ex D.P. Bhide"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1149		644710	647272
NCPPB 1150	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas oryzae	Xanthomonas campestris pv. oryzicola (Ishyama 1922) Dye 1978	Xanthomonas		Oryza sativa	Philippines	"The donor reference is Ykl
The source of this isolate was ex Orillo"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1150		647272	650840
NCPPB 1151	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae	X. oryzae Ishyama 1922	Xanthomonas campestris pv. oryzicola (Fang et al. 1957) Dye 1978	Xanthomonas		Oryza sativa	Philippines	"The donor reference is YK2
The source of this isolate was ex Orillo"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1151		650840	654360
NCPPB 1152	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas oryzae	Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978	Xanthomonas			Japan	"The donor reference is YK3
The source of this isolate was ex N. Okabe"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1152		654360	657364
NCPPB 1153	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas oryzae	Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978	Xanthomonas			Japan	"The donor reference is YK4
The source of this isolate was ex H. Muko"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1153		657364	660367
NCPPB 1154	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas campestris pv. oryzae(Ishiyama 1922) Dye 1978	Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978	Xanthomonas					https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1154		660367	663119
NCPPB 1155	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	Xanthomonas dyei			Xanthomonas		Laurelia novaezelandiae	New Zealand	"This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158
This isolate was isolated by D.W. Dye Pukatea 3"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1155		663119	665681
NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas		Phaseolus vulgaris	Unknown	"This isolate is also in the collections; LMG 7458
This isolate was isolated by D.C. Graham"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1158		665681	669544
NCPPB 1159	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot esculenta	USA	"This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934
This isolate was isolated by ex W.H. Burkholder SMl"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1159		669544	673153
NCPPB 1160	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot esculenta	Brazil	This isolate was isolated by ex O.A. Drummon & O. Hipolite	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1160		673153	676677
NCPPB 1161	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas		Manihot sp.	Mauritius	This isolate was isolated by ex G. Orian M3	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1161		676677	680183
NCPPB 1235	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	Xanthomonas campestris pv. ricini (Yoshi & Takimoto 1928) Dye 1978	Xanthomonas		Ricinus communis	Papua and New Guinea	This isolate was isolated by A.C. Hayward B922	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1235		680183	683772
NCPPB 1241	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola	Xanthomonas holcicola Elliott 1930	Xanthomonas campestris pv. holcicola (Elliott 1930) Dye 1978	Xanthomonas		Sorghum vulgare	Australia	"This isolate is also in the collections; ICPB XH112
This isolate was isolated by A.C. Hayward B996"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1241		683772	687070
NCPPB 1244	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	Xanthomonas albilineans		Xanthomonas		Saccharum officinarum	Sri Lanka	This isolate was isolated by A.C. Hayward B1021	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1244		687070	689778
NCPPB 1324	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Xanthomonas		Ricinus communis	Hong Kong	This isolate was isolated by A.C. Hayward B1167	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1324		689778	693286
NCPPB 1325	Xanthomonas sp. Dowson 1939	Xanthomonas sp		Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas		Helianthus annuus	Uganda	"The donor reference is B1160
This isolate is also in the collections; ICMP 18270
This isolate was isolated by ex C.L.A. Leakey"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1325		693286	696618
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas		Saccharum officinarum	Zimbabwe	"This isolate is also in the collections; LMG 8717
This isolate was isolated by A.C. Hayward B1116"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1326		696618	700185
NCPPB 1332	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939		Xanthomonas		Solanum lycopersicum	Jamaica	This isolate was isolated by A.C. Hayward B1198	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1332		700185	703176
NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	Xanthomonas euvesicatoria			Xanthomonas		Ionidium heterophyllum	India	"This isolate is also in the collections; ICMP 5736, LMG 744
This isolate was isolated by ex A.C. Padhya"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1334		703176	705726
NCPPB 1336	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria			Xanthomonas		Alangium lamarckii	India	"This isolate is also in the collections; ICMP 5717, LMG 470
This isolate was isolated by A.C. Padhya"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=1336		705726	708505
