ncppb_number	ncppb_current_name	biosample_accession	evidence_status	bioproject_accession	project_role	project_sources	project_title	use_for_sequence_provenance	review_required	source_url
NCPPB 1827	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	SAMN42180188	confirmed	PRJNA1130015	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov.	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1130015
NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023	SAMN19988977	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023	SAMN19988977	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023	SAMN19988977	confirmed	PRJNA742925	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of pathotype strains of Xanthomonas	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 1832	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	SAMN02903333	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1832	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	SAMN02903333	confirmed	PRJNA254393	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas arboricola pv. celebensis strain:NCPPB 1832 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA254393
NCPPB 1832	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	SAMN02903333	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN02903992	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN02903992	confirmed	PRJNA254465	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas phaseoli pv. dieffenbachiae LMG 695 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA254465
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN02903992	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN04481176	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN04481176	confirmed	PRJNA232101	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas phaseoli pv. dieffenbachiae LMG 695 Genome sequencing	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA232101
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN04481176	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN18440024	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN18440024	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN18440024	confirmed	PRJNA716613	sequence_source_project	assembly_genbank_project; biosample_elink	Molecular characterization of Xanthomonas species pathogenic on Araceae	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA716613
NCPPB 1837	Xanthomonas graminis pv. phlei Tambong et al. 2024	SAMN18876900	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1837	Xanthomonas graminis pv. phlei Tambong et al. 2024	SAMN18876900	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1837	Xanthomonas graminis pv. phlei Tambong et al. 2024	SAMN18876900	confirmed	PRJNA720632	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas translucens comparative genomics	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA720632
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07252091	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07252091	confirmed	PRJNA390892	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas citri pv. vignicola strain:CFBP7112 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390892
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07252091	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN40354538	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN40354538	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN40354538	confirmed	PRJNA991976	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of miscellaneous Xanthomonas from WHRI collection	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA991976
NCPPB 1932	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	SAMN56511365	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1933	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	SAMN56511366	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1934	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	SAMN36318705	provisional	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1934	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	SAMN36318705	provisional	PRJNA485808	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris from ornamentals	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA485808
NCPPB 1934	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	SAMN36318705	provisional	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1935	Xanthomonas campestris pv. nigromaculans (Takimoto 1927) Dye 1978	SAMEA14107389	confirmed	PRJEB38814	sequence_source_project	assembly_genbank_project; biosample_elink	High-quality draft genome sequences of strains from the Xanthomonas hortorum species level clade	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB38814
NCPPB 1935	Xanthomonas campestris pv. nigromaculans (Takimoto 1927) Dye 1978	SAMEA14107389	confirmed	PRJEB38824	biosample_elink_only	biosample_elink	Diagnostic and epidemiological tools for the Xanthomonas hortorum species-level clade based on OMICs technologies	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB38824
NCPPB 1935	Xanthomonas campestris pv. nigromaculans (Takimoto 1927) Dye 1978	SAMN22555463	confirmed	PRJNA774146	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of xanthomonads from the NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774146
NCPPB 1938	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN36318706	provisional	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1938	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN36318706	provisional	PRJNA485808	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris from ornamentals	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA485808
NCPPB 1938	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN36318706	provisional	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1939	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	SAMN42178461	confirmed	PRJNA1129913	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129913
NCPPB 1939	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	SAMN42178461	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1939	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	SAMN42178461	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1943	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN05258070	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1943	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN05258070	confirmed	PRJNA326105	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas cerealis pv. cerealis strain:NCPPB1943 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA326105
NCPPB 1943	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN05258070	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1944	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN03246830	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1944	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN03246830	confirmed	PRJNA268946	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas translucens pv. cerealis CFBP 2541 Genome sequencing	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA268946
NCPPB 1944	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN03246830	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1944	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN03246830	confirmed	PRJNA720632	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas translucens comparative genomics	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA720632
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN17385960	confirmed	PRJNA693392	sequence_source_project	biosample_elink; sra_sequence_project	Comparaitve genomics of Xanthomonas campestris isolates	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA693392
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN22552835	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN22552835	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN22552835	confirmed	PRJNA774128	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris strains from NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774128
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36315929	provisional	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36315929	provisional	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36315929	provisional	PRJNA991733	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris pv. raphani from WHRI collection	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA991733
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36368324	confirmed	PRJNA988133	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris pv. campestris from WHRI collection	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA988133
NCPPB 1974	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	SAMN05721779	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1974	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	SAMN05721779	confirmed	PRJNA341407	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Bacterial WGS validation panel	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA341407
NCPPB 1974	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	SAMN05721779	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00860199	confirmed	PRJNA73875	sequence_source_project	biosample_elink; sra_sequence_project	Xanthomonas vasicola pv. musacearum NCPPB 2005 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73875
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN02471727	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN02471727	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN02471727	confirmed	PRJNA73875	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas vasicola pv. musacearum NCPPB 2005 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73875
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN49535419	confirmed	PRJNA1280879	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas vasicola pv. musacearum	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1280879
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN49535419	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN49535419	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023	SAMN19988978	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023	SAMN19988978	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023	SAMN19988978	confirmed	PRJNA742925	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of pathotype strains of Xanthomonas	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 2058	Xanthomonas citri pv. vignaeradiatae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	SAMN42278565	confirmed	PRJNA742925	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of pathotype strains of Xanthomonas	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	PRJNA73853	sequence_source_project	biosample_elink; sra_sequence_project	Xanthomonas vasicola pv. vasculorum NCPPB 1326 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73853
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	PRJNA73871	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas vasicola pv. vasculorum NCPPB 206 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73871
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	PRJNA992549	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Re-sequencing of X. vasicola strains at Fera	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA992549
NCPPB 2060	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	SAMN42180189	confirmed	PRJNA1130015	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov.	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1130015
NCPPB 2060	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	SAMN42180189	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2060	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	SAMN42180189	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2061	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07251989	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2061	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07251989	confirmed	PRJNA390890	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas citri pv. vignicola strain:CFBP7113 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390890
NCPPB 2061	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN07251989	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2063	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	SAMN42284474	confirmed	PRJNA1131453	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1131453
NCPPB 2063	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	SAMN42284474	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2063	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	SAMN42284474	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2064	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN03142816	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 2064	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN03142816	confirmed	PRJNA264816	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas phaseoli pv. phaseoli strain:NCPPB 2064 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264816
NCPPB 2064	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN03142816	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 2064	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN56511367	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 2066	Xanthomonas axonopodis pv. phyllanthi (Sabet et al. 1969) Vauterin et al 1995	SAMN42278573	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
