ncppb_number	ncppb_current_name	biosample_accession	evidence_status	match_decision	identity_match_status	matched_identifier	identifier_strength	taxonomy_status	resource_type	resource_accession	resource_role	assembly_level	assembly_source	assembly_total_length	assembly_contig_count	assembly_contig_n50	sra_library_strategy	sra_library_source	sra_library_layout	sra_instrument	sra_total_bases	sequence_bioproject_accessions	selected_for_phylogeny	download_tool	download_command	source_url
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN02471772	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN02471772	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	bioproject	PRJNA60023	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA60023
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN02471772	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN02471772	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	biosample	SAMN02471772	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN02471772
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN09704275	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	bioproject	PRJNA482368	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA482368
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN09704275	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	biosample	SAMN09704275	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN09704275
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN09704275	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	sra_run	SRR7628815	raw_sequence_reads						WGS	GENOMIC	paired	Illumina MiSeq	3174321889	PRJNA482368	no	NCBI SRA Toolkit	prefetch SRR7628815 && fasterq-dump SRR7628815 --split-files --outdir fastq/NCPPB_881	https://www.ncbi.nlm.nih.gov/sra/SRR7628815
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN33574910	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	assembly	GCF_046589575.1	assembled_genome_sequence	Contig	RefSeq	5170259	149	60936						PRJNA940592	yes	NCBI Datasets CLI	datasets download genome accession GCF_046589575.1 --include genome --filename NCPPB_881_GCF_046589575.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_046589575.1
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN33574910	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN33574910	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN33574910	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	bioproject	PRJNA940592	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA940592
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN33574910	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	biosample	SAMN33574910	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN33574910
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN33574910	confirmed	accept	confirmed_exact_collection_identifier	ATCC 19865	strong	same_name	sra_run	SRR23696936	raw_sequence_reads						WGS	GENOMIC	paired	Illumina MiSeq	267257097	PRJNA940592	no	NCBI SRA Toolkit	prefetch SRR23696936 && fasterq-dump SRR23696936 --split-files --outdir fastq/NCPPB_881	https://www.ncbi.nlm.nih.gov/sra/SRR23696936
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN56511390	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	bioproject	PRJNA1437458	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN56511390	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	biosample	SAMN56511390	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511390
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN56511390	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	sra_run	SRR37629067	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq X	2680095667	PRJNA1437458	no	NCBI SRA Toolkit	prefetch SRR37629067 && fasterq-dump SRR37629067 --split-files --outdir fastq/NCPPB_881	https://www.ncbi.nlm.nih.gov/sra/SRR37629067
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	SAMN56511390	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 881	primary	same_name	sra_run	SRR37789884	raw_sequence_reads						WGS	GENOMIC	single	PromethION	2186904636	PRJNA1437458	no	NCBI SRA Toolkit	prefetch SRR37789884 && fasterq-dump SRR37789884 --split-files --outdir fastq/NCPPB_881	https://www.ncbi.nlm.nih.gov/sra/SRR37789884
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	assembly	GCF_041464115.1	assembled_genome_sequence	Complete Genome	RefSeq	4961365	1	4961365						PRJNA742925	yes	NCBI Datasets CLI	datasets download genome accession GCF_041464115.1 --include genome --filename NCPPB_885_GCF_041464115.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_041464115.1
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	bioproject	PRJNA742925	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	biosample	SAMN42278569	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN42278569
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	sra_run	SRR29692757	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	1118014500	PRJNA742925	no	NCBI SRA Toolkit	prefetch SRR29692757 && fasterq-dump SRR29692757 --split-files --outdir fastq/NCPPB_885	https://www.ncbi.nlm.nih.gov/sra/SRR29692757
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	SAMN42278569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 885	primary	same_name	sra_run	SRR30016543	raw_sequence_reads						WGS	GENOMIC	single	PromethION	707354151	PRJNA742925	no	NCBI SRA Toolkit	prefetch SRR30016543 && fasterq-dump SRR30016543 --split-files --outdir fastq/NCPPB_885	https://www.ncbi.nlm.nih.gov/sra/SRR30016543
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	assembly	GCF_019200945.1	assembled_genome_sequence	Contig	RefSeq	5109531	82	167679						PRJNA743420	yes	NCBI Datasets CLI	datasets download genome accession GCF_019200945.1 --include genome --filename NCPPB_889_GCF_019200945.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_019200945.1
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	bioproject	PRJNA743420	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA743420
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	biosample	SAMN20080225	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN20080225
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN20080225	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	sra_run	SRR29823133	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	638811842	PRJNA743420	no	NCBI SRA Toolkit	prefetch SRR29823133 && fasterq-dump SRR29823133 --split-files --outdir fastq/NCPPB_889	https://www.ncbi.nlm.nih.gov/sra/SRR29823133
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357971	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	assembly	GCF_030551345.2	assembled_genome_sequence	Contig	RefSeq	5089087	128	142786						PRJNA992549	no	NCBI Datasets CLI	datasets download genome accession GCF_030551345.2 --include genome --filename NCPPB_889_GCF_030551345.2.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_030551345.2
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357971	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357971	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357971	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	bioproject	PRJNA992549	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA992549
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357971	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	biosample	SAMN36357971	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN36357971
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357971	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 889	primary	same_name	sra_run	SRR25194031	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	260359505	PRJNA992549	no	NCBI SRA Toolkit	prefetch SRR25194031 && fasterq-dump SRR25194031 --split-files --outdir fastq/NCPPB_889	https://www.ncbi.nlm.nih.gov/sra/SRR25194031
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02439007	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	assembly	GCF_000278075.1	assembled_genome_sequence	Scaffold	RefSeq	4803807	1239	8359						PRJNA163307	yes	NCBI Datasets CLI	datasets download genome accession GCF_000278075.1 --include genome --filename NCPPB_895_GCF_000278075.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_000278075.1
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02439007	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	bioproject	PRJNA163307	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA163307
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02439007	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02439007	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02439007	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	biosample	SAMN02439007	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN02439007
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02439007	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	sra_run	SRR1045341	raw_sequence_reads						WGS	GENOMIC	paired	Illumina Genome Analyzer IIx	384246742	PRJNA163307	no	NCBI SRA Toolkit	prefetch SRR1045341 && fasterq-dump SRR1045341 --split-files --outdir fastq/NCPPB_895	https://www.ncbi.nlm.nih.gov/sra/SRR1045341
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	assembly	GCF_030551445.2	assembled_genome_sequence	Contig	RefSeq	4879730	125	104144						PRJNA992549	no	NCBI Datasets CLI	datasets download genome accession GCF_030551445.2 --include genome --filename NCPPB_895_GCF_030551445.2.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_030551445.2
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	bioproject	PRJNA992549	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA992549
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	biosample	SAMN36357973	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN36357973
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357973	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 895	primary	same_name	sra_run	SRR25194029	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	324344946	PRJNA992549	no	NCBI SRA Toolkit	prefetch SRR25194029 && fasterq-dump SRR25194029 --split-files --outdir fastq/NCPPB_895	https://www.ncbi.nlm.nih.gov/sra/SRR25194029
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN02854335	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	assembly	GCF_000724905.1	assembled_genome_sequence	Scaffold	RefSeq	4800438	206	64290						PRJNA252656	yes	NCBI Datasets CLI	datasets download genome accession GCF_000724905.1 --include genome --filename NCPPB_900_GCF_000724905.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_000724905.1
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN02854335	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN02854335	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	bioproject	PRJNA252656	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA252656
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN02854335	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN02854335	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	biosample	SAMN02854335	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN02854335
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN02854335	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	sra_run	SRR1515236	raw_sequence_reads						WGS	GENOMIC	paired	Illumina HiSeq 2500	1868492800	PRJNA252656	no	NCBI SRA Toolkit	prefetch SRR1515236 && fasterq-dump SRR1515236 --split-files --outdir fastq/NCPPB_900	https://www.ncbi.nlm.nih.gov/sra/SRR1515236
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN56511391	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	bioproject	PRJNA1437458	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN56511391	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	biosample	SAMN56511391	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511391
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN56511391	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	sra_run	SRR37629066	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq X	2949253624	PRJNA1437458	no	NCBI SRA Toolkit	prefetch SRR37629066 && fasterq-dump SRR37629066 --split-files --outdir fastq/NCPPB_900	https://www.ncbi.nlm.nih.gov/sra/SRR37629066
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	SAMN56511391	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 900	primary	same_name	sra_run	SRR37789883	raw_sequence_reads						WGS	GENOMIC	single	PromethION	1294505957	PRJNA1437458	no	NCBI SRA Toolkit	prefetch SRR37789883 && fasterq-dump SRR37789883 --split-files --outdir fastq/NCPPB_900	https://www.ncbi.nlm.nih.gov/sra/SRR37789883
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	assembly	GCF_056725085.1	assembled_genome_sequence	Complete Genome	RefSeq	4936333	1	4936333						PRJNA1129555	yes	NCBI Datasets CLI	datasets download genome accession GCF_056725085.1 --include genome --filename NCPPB_901_GCF_056725085.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_056725085.1
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	bioproject	PRJNA1129555	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129555
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	biosample	SAMN42161496	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN42161496
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	sra_run	SRR29644180	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	1099426500	PRJNA1129555	no	NCBI SRA Toolkit	prefetch SRR29644180 && fasterq-dump SRR29644180 --split-files --outdir fastq/NCPPB_901	https://www.ncbi.nlm.nih.gov/sra/SRR29644180
NCPPB 901	Xanthomonas sp. Dowson 1939	SAMN42161496	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 901	primary	same_name	sra_run	SRR30040125	raw_sequence_reads						WGS	GENOMIC	single	PromethION	1058338136	PRJNA1129555	no	NCBI SRA Toolkit	prefetch SRR30040125 && fasterq-dump SRR30040125 --split-files --outdir fastq/NCPPB_901	https://www.ncbi.nlm.nih.gov/sra/SRR30040125
NCPPB 902	Xanthomonas vasicola Vauterin et al. 1995	SAMN03140174	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 902	primary	same_name	assembly	GCF_000772775.3	assembled_genome_sequence	Complete Genome	RefSeq	4916019	1	4916019						PRJNA264637	yes	NCBI Datasets CLI	datasets download genome accession GCF_000772775.3 --include genome --filename NCPPB_902_GCF_000772775.3.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_000772775.3
NCPPB 902	Xanthomonas vasicola Vauterin et al. 1995	SAMN03140174	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 902	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 902	Xanthomonas vasicola Vauterin et al. 1995	SAMN03140174	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 902	primary	same_name	bioproject	PRJNA264637	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264637
NCPPB 902	Xanthomonas vasicola Vauterin et al. 1995	SAMN03140174	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 902	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 902	Xanthomonas vasicola Vauterin et al. 1995	SAMN03140174	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 902	primary	same_name	biosample	SAMN03140174	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN03140174
NCPPB 935	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	SAMEA7984667	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 935	primary	same_name	assembly	GCF_905220785.1	assembled_genome_sequence	Complete Genome	RefSeq	5080866	1	5080866						PRJEB42844	no	NCBI Datasets CLI	datasets download genome accession GCF_905220785.1 --include genome --filename NCPPB_935_GCF_905220785.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_905220785.1
NCPPB 935	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	SAMEA7984667	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 935	primary	same_name	bioproject	PRJEB42844	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42844
NCPPB 935	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	SAMEA7984667	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 935	primary	same_name	bioproject	PRJEB42920	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42920
NCPPB 935	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	SAMEA7984667	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 935	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
