ncppb_number	other_references	matched_text	normalized_identifier	prefix	suffix	rule_name	confidence	include_for_search	biosample_query	context
NCPPB 994	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14	ICMP 619	ICMP 619	ICMP	619	known_collection_prefix	high	yes	ICMP[All Fields] AND 619[All Fields]	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14
NCPPB 994	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14	LMG 9050	LMG 9050	LMG	9050	known_collection_prefix	high	yes	LMG[All Fields] AND 9050[All Fields]	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14
NCPPB 994	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14	Patel 14	PATEL 14	PATEL	14	person_or_local_reference_code	low	yes	PATEL[All Fields] AND 14[All Fields]	lections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14
NCPPB 1009	This isolate is also in the collections; ICMP 1623 The source of this isolate was ex W.J. Dowson	ICMP 1623	ICMP 1623	ICMP	1623	known_collection_prefix	high	yes	ICMP[All Fields] AND 1623[All Fields]	This isolate is also in the collections; ICMP 1623 The source of this isolate was ex W.J. Dowson
NCPPB 1014	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	ATCC 11636	ATCC 11636	ATCC	11636	known_collection_prefix	high	yes	ATCC[All Fields] AND 11636[All Fields]	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19
NCPPB 1014	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	ICMP 3965	ICMP 3965	ICMP	3965	known_collection_prefix	high	yes	ICMP[All Fields] AND 3965[All Fields]	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19
NCPPB 1014	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	LMG 954	LMG 954	LMG	954	known_collection_prefix	high	yes	LMG[All Fields] AND 954[All Fields]	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19
NCPPB 1014	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	Patel 19	PATEL 19	PATEL	19	person_or_local_reference_code	low	yes	PATEL[All Fields] AND 19[All Fields]	lections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19
NCPPB 1025	The donor reference is B565 This isolate was isolated by ex C. Polhill	B565	B 565	B	565	source_context_single_letter_code	low	yes	B[All Fields] AND 565[All Fields]	The donor reference is B565 This isolate was isolated by ex C. Polhill
NCPPB 1043	This isolate was isolated by A.C. Hayward B621	B621	B 621	B	621	source_context_single_letter_code	low	yes	B[All Fields] AND 621[All Fields]	This isolate was isolated by A.C. Hayward B621
NCPPB 1046	The donor reference is B589 This isolate was isolated by ex G. Rangaswami	B589	B 589	B	589	source_context_single_letter_code	low	yes	B[All Fields] AND 589[All Fields]	The donor reference is B589 This isolate was isolated by ex G. Rangaswami
NCPPB 1048	This isolate was isolated by A.C. Hayward B639	B639	B 639	B	639	source_context_single_letter_code	low	yes	B[All Fields] AND 639[All Fields]	This isolate was isolated by A.C. Hayward B639
NCPPB 1050	The donor reference is B672 This isolate was isolated by ex S. Bisessar	B672	B 672	B	672	source_context_single_letter_code	low	yes	B[All Fields] AND 672[All Fields]	The donor reference is B672 This isolate was isolated by ex S. Bisessar
NCPPB 1056	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B	LMG 7457	LMG 7457	LMG	7457	known_collection_prefix	high	yes	LMG[All Fields] AND 7457[All Fields]	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B
NCPPB 1056	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B	B665B	B 665B	B	665B	source_context_single_letter_code	low	yes	B[All Fields] AND 665B[All Fields]	is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B
NCPPB 1058	This isolate was isolated by A.C. Hayward B659	B659	B 659	B	659	source_context_single_letter_code	low	yes	B[All Fields] AND 659[All Fields]	This isolate was isolated by A.C. Hayward B659
NCPPB 1059	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658	ICPB XP198	ICPB XP198	ICPB	XP198	known_collection_prefix	high	yes	ICPB[All Fields] AND XP198[All Fields]	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658
NCPPB 1059	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658	XP198	XP 198	XP	198	contextual_reference_code	medium	yes	XP[All Fields] AND 198[All Fields]	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658
NCPPB 1059	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658	B658	B 658	B	658	source_context_single_letter_code	low	yes	B[All Fields] AND 658[All Fields]	s also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658
NCPPB 1060	This isolate was isolated by A.C. Hayward B657	B657	B 657	B	657	source_context_single_letter_code	low	yes	B[All Fields] AND 657[All Fields]	This isolate was isolated by A.C. Hayward B657
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	ATCC 23382	ATCC 23382	ATCC	23382	known_collection_prefix	high	yes	ATCC[All Fields] AND 23382[All Fields]	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	ICPB XP195	ICPB XP195	ICPB	XP195	known_collection_prefix	high	yes	ICPB[All Fields] AND XP195[All Fields]	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	ICMP 1028	ICMP 1028	ICMP	1028	known_collection_prefix	high	yes	ICMP[All Fields] AND 1028[All Fields]	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	LMG 848	LMG 848	LMG	848	known_collection_prefix	high	yes	LMG[All Fields] AND 848[All Fields]	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	XP195	XP 195	XP	195	contextual_reference_code	medium	yes	XP[All Fields] AND 195[All Fields]	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	B652	B 652	B	652	source_context_single_letter_code	low	yes	B[All Fields] AND 652[All Fields]	23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1062	This isolate was isolated by A.C. Hayward B644	B644	B 644	B	644	source_context_single_letter_code	low	yes	B[All Fields] AND 644[All Fields]	This isolate was isolated by A.C. Hayward B644
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	ATCC 19317	ATCC 19317	ATCC	19317	known_collection_prefix	high	yes	ATCC[All Fields] AND 19317[All Fields]	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	LMG 861	LMG 861	LMG	861	known_collection_prefix	high	yes	LMG[All Fields] AND 861[All Fields]	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	ICMP 5747	ICMP 5747	ICMP	5747	known_collection_prefix	high	yes	ICMP[All Fields] AND 5747[All Fields]	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	B651	B 651	B	651	source_context_single_letter_code	low	yes	B[All Fields] AND 651[All Fields]	tions; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651
NCPPB 1067	This isolate was isolated by A.C. Hayward B707A	B707A	B 707A	B	707A	source_context_single_letter_code	low	yes	B[All Fields] AND 707A[All Fields]	This isolate was isolated by A.C. Hayward B707A
NCPPB 1068	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A	ICMP 18269	ICMP 18269	ICMP	18269	known_collection_prefix	high	yes	ICMP[All Fields] AND 18269[All Fields]	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A
NCPPB 1068	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A	B689A	B 689A	B	689A	source_context_single_letter_code	low	yes	B[All Fields] AND 689A[All Fields]	s also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A
NCPPB 1117	The donor reference is B828 This isolate was isolated by ex G. Rangaswami	B828	B 828	B	828	source_context_single_letter_code	low	yes	B[All Fields] AND 828[All Fields]	The donor reference is B828 This isolate was isolated by ex G. Rangaswami
NCPPB 1124	This isolate was isolated by A.C. Hayward B724A	B724A	B 724A	B	724A	source_context_single_letter_code	low	yes	B[All Fields] AND 724A[All Fields]	This isolate was isolated by A.C. Hayward B724A
NCPPB 1128	This isolate was isolated by A.C. Hayward B791	B791	B 791	B	791	source_context_single_letter_code	low	yes	B[All Fields] AND 791[All Fields]	This isolate was isolated by A.C. Hayward B791
NCPPB 1129	This isolate was isolated by A.C. Hayward B784	B784	B 784	B	784	source_context_single_letter_code	low	yes	B[All Fields] AND 784[All Fields]	This isolate was isolated by A.C. Hayward B784
NCPPB 1131	This isolate was isolated by A.C. Hayward B720	B720	B 720	B	720	source_context_single_letter_code	low	yes	B[All Fields] AND 720[All Fields]	This isolate was isolated by A.C. Hayward B720
NCPPB 1132	This isolate was isolated by A.C. Hayward B719	B719	B 719	B	719	source_context_single_letter_code	low	yes	B[All Fields] AND 719[All Fields]	This isolate was isolated by A.C. Hayward B719
NCPPB 1135	This isolate was isolated by A.C. Hayward B740B	B740B	B 740B	B	740B	source_context_single_letter_code	low	yes	B[All Fields] AND 740B[All Fields]	This isolate was isolated by A.C. Hayward B740B
NCPPB 1136	This isolate was isolated by A.C. Hayward B809A	B809A	B 809A	B	809A	source_context_single_letter_code	low	yes	B[All Fields] AND 809A[All Fields]	This isolate was isolated by A.C. Hayward B809A
NCPPB 1138	This isolate was isolated by A.C. Hayward B727	B727	B 727	B	727	source_context_single_letter_code	low	yes	B[All Fields] AND 727[All Fields]	This isolate was isolated by A.C. Hayward B727
NCPPB 1141	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745	ICPB XP202	ICPB XP202	ICPB	XP202	known_collection_prefix	high	yes	ICPB[All Fields] AND XP202[All Fields]	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745
NCPPB 1141	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745	XP202	XP 202	XP	202	contextual_reference_code	medium	yes	XP[All Fields] AND 202[All Fields]	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745
NCPPB 1141	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745	B745	B 745	B	745	source_context_single_letter_code	low	yes	B[All Fields] AND 745[All Fields]	s also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745
NCPPB 1143	This isolate was isolated by L.A.E. Baker X3	X3	X 3	X	3	source_context_single_letter_code	low	yes	X[All Fields] AND 3[All Fields]	This isolate was isolated by L.A.E. Baker X3
NCPPB 1144	This isolate was isolated by L.A.E. Baker X9	X9	X 9	X	9	source_context_single_letter_code	low	yes	X[All Fields] AND 9[All Fields]	This isolate was isolated by L.A.E. Baker X9
NCPPB 1145	This isolate was isolated by L.A.E. Baker X10	X10	X 10	X	10	source_context_single_letter_code	low	yes	X[All Fields] AND 10[All Fields]	This isolate was isolated by L.A.E. Baker X10
NCPPB 1146	This isolate was isolated by L.A.E. Baker XII					no_identifier_found	none	no		
NCPPB 1147	This isolate was isolated by L.A.E. Baker X13	X13	X 13	X	13	source_context_single_letter_code	low	yes	X[All Fields] AND 13[All Fields]	This isolate was isolated by L.A.E. Baker X13
NCPPB 1148	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide	ICMP 82	ICMP 82	ICMP	82	known_collection_prefix	high	yes	ICMP[All Fields] AND 82[All Fields]	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide
NCPPB 1148	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide	LMG 9049	LMG 9049	LMG	9049	known_collection_prefix	high	yes	LMG[All Fields] AND 9049[All Fields]	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide
NCPPB 1149	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide	ICMP 90	ICMP 90	ICMP	90	known_collection_prefix	high	yes	ICMP[All Fields] AND 90[All Fields]	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide
NCPPB 1149	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide	LMG 939	LMG 939	LMG	939	known_collection_prefix	high	yes	LMG[All Fields] AND 939[All Fields]	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide
NCPPB 1150	The donor reference is Ykl The source of this isolate was ex Orillo					no_identifier_found	none	no		
NCPPB 1151	The donor reference is YK2 The source of this isolate was ex Orillo	YK2	YK 2	YK	2	contextual_reference_code	medium	yes	YK[All Fields] AND 2[All Fields]	The donor reference is YK2 The source of this isolate was ex Orillo
NCPPB 1152	The donor reference is YK3 The source of this isolate was ex N. Okabe	YK3	YK 3	YK	3	contextual_reference_code	medium	yes	YK[All Fields] AND 3[All Fields]	The donor reference is YK3 The source of this isolate was ex N. Okabe
NCPPB 1153	The donor reference is YK4 The source of this isolate was ex H. Muko	YK4	YK 4	YK	4	contextual_reference_code	medium	yes	YK[All Fields] AND 4[All Fields]	The donor reference is YK4 The source of this isolate was ex H. Muko
NCPPB 1154						no_identifier_found	none	no		
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	ICPB XL104	ICPB XL104	ICPB	XL104	known_collection_prefix	high	yes	ICPB[All Fields] AND XL104[All Fields]	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	ICMP 84	ICMP 84	ICMP	84	known_collection_prefix	high	yes	ICMP[All Fields] AND 84[All Fields]	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	CFBP 7258	CFBP 7258	CFBP	7258	known_collection_prefix	high	yes	CFBP[All Fields] AND 7258[All Fields]	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	LMG 1158	LMG 1158	LMG	1158	known_collection_prefix	high	yes	LMG[All Fields] AND 1158[All Fields]	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	XL104	XL 104	XL	104	contextual_reference_code	medium	yes	XL[All Fields] AND 104[All Fields]	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	Pukatea 3	PUKATEA 3	PUKATEA	3	general_code_candidate	low	yes	PUKATEA[All Fields] AND 3[All Fields]	ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1158	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham	LMG 7458	LMG 7458	LMG	7458	known_collection_prefix	high	yes	LMG[All Fields] AND 7458[All Fields]	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham
NCPPB 1159	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl	ATCC 23380	ATCC 23380	ATCC	23380	known_collection_prefix	high	yes	ATCC[All Fields] AND 23380[All Fields]	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl
NCPPB 1159	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl	LMG 5274	LMG 5274	LMG	5274	known_collection_prefix	high	yes	LMG[All Fields] AND 5274[All Fields]	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl
NCPPB 1159	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl	ICMP 6934	ICMP 6934	ICMP	6934	known_collection_prefix	high	yes	ICMP[All Fields] AND 6934[All Fields]	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl
NCPPB 1160	This isolate was isolated by ex O.A. Drummon & O. Hipolite					no_identifier_found	none	no		
NCPPB 1161	This isolate was isolated by ex G. Orian M3	M3	M 3	M	3	source_context_single_letter_code	low	yes	M[All Fields] AND 3[All Fields]	This isolate was isolated by ex G. Orian M3
NCPPB 1235	This isolate was isolated by A.C. Hayward B922	B922	B 922	B	922	source_context_single_letter_code	low	yes	B[All Fields] AND 922[All Fields]	This isolate was isolated by A.C. Hayward B922
NCPPB 1241	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996	ICPB XH112	ICPB XH112	ICPB	XH112	known_collection_prefix	high	yes	ICPB[All Fields] AND XH112[All Fields]	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996
NCPPB 1241	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996	XH112	XH 112	XH	112	contextual_reference_code	medium	yes	XH[All Fields] AND 112[All Fields]	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996
NCPPB 1241	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996	B996	B 996	B	996	source_context_single_letter_code	low	yes	B[All Fields] AND 996[All Fields]	s also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996
NCPPB 1244	This isolate was isolated by A.C. Hayward B1021	B1021	B 1021	B	1021	source_context_single_letter_code	low	yes	B[All Fields] AND 1021[All Fields]	This isolate was isolated by A.C. Hayward B1021
NCPPB 1324	This isolate was isolated by A.C. Hayward B1167	B1167	B 1167	B	1167	source_context_single_letter_code	low	yes	B[All Fields] AND 1167[All Fields]	This isolate was isolated by A.C. Hayward B1167
NCPPB 1325	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey	ICMP 18270	ICMP 18270	ICMP	18270	known_collection_prefix	high	yes	ICMP[All Fields] AND 18270[All Fields]	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey
NCPPB 1325	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey	B1160	B 1160	B	1160	source_context_single_letter_code	low	yes	B[All Fields] AND 1160[All Fields]	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated b
NCPPB 1326	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116	LMG 8717	LMG 8717	LMG	8717	known_collection_prefix	high	yes	LMG[All Fields] AND 8717[All Fields]	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116
NCPPB 1326	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116	B1116	B 1116	B	1116	source_context_single_letter_code	low	yes	B[All Fields] AND 1116[All Fields]	is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116
NCPPB 1332	This isolate was isolated by A.C. Hayward B1198	B1198	B 1198	B	1198	source_context_single_letter_code	low	yes	B[All Fields] AND 1198[All Fields]	This isolate was isolated by A.C. Hayward B1198
NCPPB 1334	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya	ICMP 5736	ICMP 5736	ICMP	5736	known_collection_prefix	high	yes	ICMP[All Fields] AND 5736[All Fields]	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya
NCPPB 1334	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya	LMG 744	LMG 744	LMG	744	known_collection_prefix	high	yes	LMG[All Fields] AND 744[All Fields]	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya
NCPPB 1336	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya	ICMP 5717	ICMP 5717	ICMP	5717	known_collection_prefix	high	yes	ICMP[All Fields] AND 5717[All Fields]	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya
NCPPB 1336	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya	LMG 470	LMG 470	LMG	470	known_collection_prefix	high	yes	LMG[All Fields] AND 470[All Fields]	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya
NCPPB 1337	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya	ICMP 5742	ICMP 5742	ICMP	5742	known_collection_prefix	high	yes	ICMP[All Fields] AND 5742[All Fields]	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya
NCPPB 1337	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya	LMG 786	LMG 786	LMG	786	known_collection_prefix	high	yes	LMG[All Fields] AND 786[All Fields]	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya
NCPPB 1381	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350	LMG 8718	LMG 8718	LMG	8718	known_collection_prefix	high	yes	LMG[All Fields] AND 8718[All Fields]	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350
NCPPB 1381	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350	B1350	B 1350	B	1350	source_context_single_letter_code	low	yes	B[All Fields] AND 1350[All Fields]	is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350
NCPPB 1393	The donor reference is B1432 The source of this isolate was ex ITCC SF62	ITCC SF62	ITCC SF62	ITCC	SF62	known_collection_prefix	high	yes	ITCC[All Fields] AND SF62[All Fields]	The donor reference is B1432 The source of this isolate was ex ITCC SF62
NCPPB 1393	The donor reference is B1432 The source of this isolate was ex ITCC SF62	B1432	B 1432	B	1432	source_context_single_letter_code	low	yes	B[All Fields] AND 1432[All Fields]	The donor reference is B1432 The source of this isolate was ex ITCC SF62
NCPPB 1393	The donor reference is B1432 The source of this isolate was ex ITCC SF62	SF62	SF 62	SF	62	contextual_reference_code	medium	yes	SF[All Fields] AND 62[All Fields]	The donor reference is B1432 The source of this isolate was ex ITCC SF62
NCPPB 1394	The donor reference is B1446 This isolate was isolated by ex N. Shanmuganathan	B1446	B 1446	B	1446	source_context_single_letter_code	low	yes	B[All Fields] AND 1446[All Fields]	The donor reference is B1446 This isolate was isolated by ex N. Shanmuganathan
NCPPB 1395	The donor reference is B1444 This isolate was isolated by ex N. Shanmuganathan	B1444	B 1444	B	1444	source_context_single_letter_code	low	yes	B[All Fields] AND 1444[All Fields]	The donor reference is B1444 This isolate was isolated by ex N. Shanmuganathan
NCPPB 1396	The donor reference is B1443 This isolate was isolated by ex N. Shanmuganathan	B1443	B 1443	B	1443	source_context_single_letter_code	low	yes	B[All Fields] AND 1443[All Fields]	The donor reference is B1443 This isolate was isolated by ex N. Shanmuganathan
NCPPB 1402	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374	LMG 7459	LMG 7459	LMG	7459	known_collection_prefix	high	yes	LMG[All Fields] AND 7459[All Fields]	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374
NCPPB 1402	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374	B1374	B 1374	B	1374	source_context_single_letter_code	low	yes	B[All Fields] AND 1374[All Fields]	is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374
NCPPB 1420	This isolate was isolated by Z. Klement E1388	E1388	E 1388	E	1388	source_context_single_letter_code	low	yes	E[All Fields] AND 1388[All Fields]	This isolate was isolated by Z. Klement E1388
NCPPB 1421	This isolate was isolated by Z. Klement S. 20	S. 20	S 20	S	20	source_context_single_letter_code	low	yes	S[All Fields] AND 20[All Fields]	This isolate was isolated by Z. Klement S. 20
NCPPB 1422	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066	ICMP 5723	ICMP 5723	ICMP	5723	known_collection_prefix	high	yes	ICMP[All Fields] AND 5723[All Fields]	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066
NCPPB 1422	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066	LMG 8646	LMG 8646	LMG	8646	known_collection_prefix	high	yes	LMG[All Fields] AND 8646[All Fields]	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066
