ncppb_number	other_references	script_included_identifiers	llm_expected_identifiers	missing_from_script	extra_in_script	comparison_verdict	llm_notes
NCPPB 1124	This isolate was isolated by A.C. Hayward B724A	B 724A	B 724A			match	Includes one-letter local strain code(s).
NCPPB 1128	This isolate was isolated by A.C. Hayward B791	B 791	B 791			match	Includes one-letter local strain code(s).
NCPPB 1129	This isolate was isolated by A.C. Hayward B784	B 784	B 784			match	Includes one-letter local strain code(s).
NCPPB 1131	This isolate was isolated by A.C. Hayward B720	B 720	B 720			match	Includes one-letter local strain code(s).
NCPPB 1132	This isolate was isolated by A.C. Hayward B719	B 719	B 719			match	Includes one-letter local strain code(s).
NCPPB 1135	This isolate was isolated by A.C. Hayward B740B	B 740B	B 740B			match	Includes one-letter local strain code(s).
NCPPB 1136	This isolate was isolated by A.C. Hayward B809A	B 809A	B 809A			match	Includes one-letter local strain code(s).
NCPPB 1138	This isolate was isolated by A.C. Hayward B727	B 727	B 727			match	Includes one-letter local strain code(s).
NCPPB 1141	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745	B 745; ICPB XP202; XP 202	B 745; XP 202		ICPB XP202	mismatch	Includes one-letter local strain code(s).
NCPPB 1143	This isolate was isolated by L.A.E. Baker X3	X 3	X 3			match	Includes one-letter local strain code(s).
NCPPB 1144	This isolate was isolated by L.A.E. Baker X9	X 9	X 9			match	Includes one-letter local strain code(s).
NCPPB 1145	This isolate was isolated by L.A.E. Baker X10	X 10	X 10			match	Includes one-letter local strain code(s).
NCPPB 1146	This isolate was isolated by L.A.E. Baker XII					match	
NCPPB 1147	This isolate was isolated by L.A.E. Baker X13	X 13	X 13			match	Includes one-letter local strain code(s).
NCPPB 1148	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide	ICMP 82; LMG 9049	ICMP 82; LMG 9049			match	
NCPPB 1149	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide	ICMP 90; LMG 939	ICMP 90; LMG 939			match	
NCPPB 1150	The donor reference is Ykl The source of this isolate was ex Orillo					match	
NCPPB 1151	The donor reference is YK2 The source of this isolate was ex Orillo	YK 2	YK 2			match	
NCPPB 1152	The donor reference is YK3 The source of this isolate was ex N. Okabe	YK 3	YK 3			match	
NCPPB 1153	The donor reference is YK4 The source of this isolate was ex H. Muko	YK 4	YK 4			match	
NCPPB 1154						match	
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	CFBP 7258; ICMP 84; ICPB XL104; LMG 1158; PUKATEA 3; XL 104	CFBP 7258; ICMP 84; LMG 1158; XL 104		ICPB XL104; PUKATEA 3	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1158	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham	LMG 7458	LMG 7458			match	
NCPPB 1159	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl	ATCC 23380; ICMP 6934; LMG 5274	ATCC 23380; ICMP 6934; LMG 5274			match	
NCPPB 1160	This isolate was isolated by ex O.A. Drummon & O. Hipolite					match	
NCPPB 1161	This isolate was isolated by ex G. Orian M3	M 3	M 3			match	Includes one-letter local strain code(s).
NCPPB 1235	This isolate was isolated by A.C. Hayward B922	B 922	B 922			match	Includes one-letter local strain code(s).
NCPPB 1241	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996	B 996; ICPB XH112; XH 112	B 996; XH 112		ICPB XH112	mismatch	Includes one-letter local strain code(s).
NCPPB 1244	This isolate was isolated by A.C. Hayward B1021	B 1021	B 1021			match	Includes one-letter local strain code(s).
NCPPB 1324	This isolate was isolated by A.C. Hayward B1167	B 1167	B 1167			match	Includes one-letter local strain code(s).
NCPPB 1325	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey	B 1160; ICMP 18270	B 1160; ICMP 18270			match	Includes one-letter local strain code(s).
NCPPB 1326	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116	B 1116; LMG 8717	B 1116; LMG 8717			match	Includes one-letter local strain code(s).
NCPPB 1332	This isolate was isolated by A.C. Hayward B1198	B 1198	B 1198			match	Includes one-letter local strain code(s).
NCPPB 1334	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya	ICMP 5736; LMG 744	ICMP 5736; LMG 744			match	
NCPPB 1336	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya	ICMP 5717; LMG 470	ICMP 5717; LMG 470			match	
NCPPB 1337	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya	ICMP 5742; LMG 786	ICMP 5742; LMG 786			match	
NCPPB 1381	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350	B 1350; LMG 8718	B 1350; LMG 8718			match	Includes one-letter local strain code(s).
NCPPB 1393	The donor reference is B1432 The source of this isolate was ex ITCC SF62	B 1432; ITCC SF62; SF 62	B 1432; ITCC SF62		SF 62	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 1394	The donor reference is B1446 This isolate was isolated by ex N. Shanmuganathan	B 1446	B 1446			match	Includes one-letter local strain code(s).
NCPPB 1395	The donor reference is B1444 This isolate was isolated by ex N. Shanmuganathan	B 1444	B 1444			match	Includes one-letter local strain code(s).
NCPPB 1396	The donor reference is B1443 This isolate was isolated by ex N. Shanmuganathan	B 1443	B 1443			match	Includes one-letter local strain code(s).
NCPPB 1402	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374	B 1374; LMG 7459	B 1374; LMG 7459			match	Includes one-letter local strain code(s).
NCPPB 1420	This isolate was isolated by Z. Klement E1388	E 1388	E 1388			match	Includes one-letter local strain code(s).
NCPPB 1421	This isolate was isolated by Z. Klement S. 20	S 20			S 20	mismatch	
NCPPB 1422	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066	ICMP 5723; LMG 8646; N 066	ICMP 5723; LMG 8646		N 066	mismatch	
NCPPB 1423	This isolate is also in the collections; ICMP 114, LMG 923 This isolate was isolated by Z. Klement S. 07	ICMP 114; LMG 923; S 07	ICMP 114; LMG 923		S 07	mismatch	
NCPPB 1426	This isolate is also in the collections; ICMP 173, LMG 924 This isolate was isolated by Z. Klement S. 10	ICMP 173; LMG 924; S 10	ICMP 173; LMG 924		S 10	mismatch	
NCPPB 1431	This isolate is also in the collections; ICMP 112, LMG 925 This isolate was isolated by Z. Klement S. 04	ICMP 112; LMG 925; S 04	ICMP 112; LMG 925		S 04	mismatch	
NCPPB 1433	This isolate is also in the collections; LMG 8016 This isolate was isolated by Z. Klement E1309	E 1309; LMG 8016	E 1309; LMG 8016			match	Includes one-letter local strain code(s).
NCPPB 1438	This isolate is also in the collections; ICMP 172, LMG 926, CFBP 7955 This isolate was isolated by Z. Klement I. 608	CFBP 7955; I 608; ICMP 172; LMG 926	CFBP 7955; ICMP 172; LMG 926		I 608	mismatch	
NCPPB 1439	This isolate was isolated by Z. Klement E1299	E 1299	E 1299			match	Includes one-letter local strain code(s).
NCPPB 1447	The donor reference is 19 This isolate was isolated by ex I. Lazar					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1451	This isolate is also in the collections; ICMP 5761, LMG 940 This isolate was isolated by ex A.C. Padhya	ICMP 5761; LMG 940	ICMP 5761; LMG 940			match	
NCPPB 1452	This isolate is also in the collections; ICMP 5852, LMG 872, ATCC 23577 This isolate was isolated by ex A.C. Padhya	ATCC 23577; ICMP 5852; LMG 872	ATCC 23577; ICMP 5852; LMG 872			match	
NCPPB 1453	This isolate was isolated by ex M.C. Srinivasan					match	
NCPPB 1454	This isolate is also in the collections; ICMP 5753, LMG 873 This isolate was isolated by ex M.C. Srinivasan	ICMP 5753; LMG 873	ICMP 5753; LMG 873			match	
NCPPB 1455	This isolate is also in the collections; ICMP 5737, LMG 754 This isolate was isolated by ex M.C. Srinivasan	ICMP 5737; LMG 754	ICMP 5737; LMG 754			match	
NCPPB 1457	This isolate was isolated by ex M.C. Srinivasan					match	
NCPPB 1469	This isolate is also in the collections; ICMP 5715, ATTCC 33239, VKM B-2165, DSMZ 3587, LMG 708, CFBP 2157 This isolate was isolated by B.W. Kennedy	ATTCC 33239; B 2165; CFBP 2157; DSMZ 3587; ICMP 5715; LMG 708; VKM B-2165	ATTCC 33239; CFBP 2157; DSMZ 3587; ICMP 5715; LMG 708; VKM B-2165		B 2165	mismatch	
NCPPB 1471	This isolate was isolated by A.C. Hayward B1603	B 1603	B 1603			match	Includes one-letter local strain code(s).
NCPPB 1472	This isolate was isolated by A.C. Hayward B1601	B 1601	B 1601			match	Includes one-letter local strain code(s).
NCPPB 1473	This isolate was isolated by A.C. Hayward B1559	B 1559	B 1559			match	Includes one-letter local strain code(s).
NCPPB 1475	This isolate was isolated by A.C. Hayward B1479	B 1479	B 1479			match	Includes one-letter local strain code(s).
NCPPB 1482	This isolate was isolated by A.C. Hayward B1741	B 1741	B 1741			match	Includes one-letter local strain code(s).
NCPPB 1495	This isolate is also in the collections; LMG 8017 This isolate was isolated by G.E. Jones C398	C 398; LMG 8017	LMG 8017		C 398	mismatch	
NCPPB 1560	This isolate was isolated by R.A. Lelliott 479	LELLIOTT 479			LELLIOTT 479	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1568	The donor reference is 1 This isolate was isolated by ex K.S.S. Eswaran					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1585	This isolate is also in the collections; ICPB XOlll, ICMP 5743, LMG 797, CFBP 2286, ATCC 49072 This isolate was isolated by A.C. Hayward B2115	ATCC 49072; B 2115; CFBP 2286; ICMP 5743; LMG 797	ATCC 49072; B 2115; CFBP 2286; ICMP 5743; LMG 797			match	Includes one-letter local strain code(s).
NCPPB 1593	This isolate is also in the collections; ICMP 1617, LMG 534 This isolate was isolated by ex M.C. Srinivasan	ICMP 1617; LMG 534	ICMP 1617; LMG 534			match	
NCPPB 1594	This isolate was isolated by ex A.C. Padhya The source of this isolate was ex M.K. Patel					match	
NCPPB 1595	The source of this isolate was ex M.C. Srinivasan					match	
NCPPB 1596	The source of this isolate was ex M.C. Srinivasan					match	
NCPPB 1607	The donor reference is B2165 This isolate was isolated by ex R.D. Pares	B 2165	B 2165			match	Includes one-letter local strain code(s).
NCPPB 1610	This isolate was isolated by R.A. Lelliott					match	
NCPPB 1612	This isolate was isolated by A.C. Hayward B2175	B 2175	B 2175			match	Includes one-letter local strain code(s).
NCPPB 1615	This isolate is also in the collections; ICPB XPl99 This isolate was isolated by R.A. Lelliott	ICPB XPL99; XPL 99	XPL 99		ICPB XPL99	mismatch	
NCPPB 1616	This isolate was isolated by A.C. Hayward B2249F	B 2249F	B 2249F			match	Includes one-letter local strain code(s).
NCPPB 1622	This isolate was isolated by D.C. Graham					match	
NCPPB 1628	This isolate is also in the collections; ICPB XA132 This isolate was isolated by A.C. Padhya	ICPB XA132; XA 132	XA 132		ICPB XA132	mismatch	
NCPPB 1629	This isolate was isolated by ex A.C. Padhya					match	
NCPPB 1630	This isolate was isolated by ex D.W. Dye ZZ24 The source of this isolate was .	ZZ 24	ZZ 24			match	
NCPPB 1632	The source of this isolate was ex M. Goto B50	B 50	B 50			match	Includes one-letter local strain code(s).
NCPPB 1633	This isolate is also in the collections; ICPB XSl, CFBP 7111 This isolate was isolated by ex W.H. Burkholder The source of this isolate was ex R.S. Dickey	CFBP 7111	CFBP 7111			match	
NCPPB 1638	This isolate was isolated by A.C. Hayward B2290	B 2290	B 2290			match	Includes one-letter local strain code(s).
NCPPB 1645	The donor reference is B2340 This isolate was isolated by ex A.H. Ramos SAL/163/B	B 2340; SAL 163/B	B 2340; SAL 163/B			match	Includes one-letter local strain code(s).
NCPPB 1646	The donor reference is B2324A This isolate was isolated by ex W.S. Sutton	B 2324A	B 2324A			match	Includes one-letter local strain code(s).
NCPPB 1648	This isolate was isolated by A.C. Hayward B2305	B 2305	B 2305			match	Includes one-letter local strain code(s).
NCPPB 1654	The donor reference is B2330 This isolate is also in the collections; LMG 837 This isolate was isolated by ex B.H. Boelema F6	B 2330; F 6; LMG 837	B 2330; LMG 837		F 6	mismatch	Includes one-letter local strain code(s).
NCPPB 1659	This isolate was isolated by A.C. Hayward B2404	B 2404	B 2404			match	Includes one-letter local strain code(s).
NCPPB 1668	The donor reference is CS56-27	CS 56-27	CS 56-27			match	
NCPPB 1671	This isolate was isolated by A.C. Hayward B2536	B 2536	B 2536			match	Includes one-letter local strain code(s).
NCPPB 1672	This isolate was isolated by A.C. Hayward B2540B	B 2540B	B 2540B			match	Includes one-letter local strain code(s).
NCPPB 1680	This isolate is also in the collections; ICPB XP200 This isolate was isolated by D.C. Graham	ICPB XP200; XP 200	XP 200		ICPB XP200	mismatch	
NCPPB 1683	This isolate is also in the collections; ATCC 19867, ICMP 3945	ATCC 19867; ICMP 3945	ATCC 19867; ICMP 3945			match	
NCPPB 1684	This isolate is also in the collections; ICPB XR117 This isolate was isolated by A.C. Hayward B2602	B 2602; ICPB XR117; XR 117	B 2602; XR 117		ICPB XR117	mismatch	Includes one-letter local strain code(s).
NCPPB 1685	The donor reference is B2631 This isolate was isolated by ex H.L. Harvey WA134	B 2631; WA 134	B 2631; WA 134			match	Includes one-letter local strain code(s).
NCPPB 1697	This isolate was isolated by A.C. Hayward B2024	B 2024	B 2024			match	Includes one-letter local strain code(s).
NCPPB 1698	The donor reference is B650 This isolate is also in the collections; ATCC 14985, LMG 7429 This isolate was isolated by ex C. Logan XL59/10	ATCC 14985; B 650; LMG 7429; XL 59/10	ATCC 14985; B 650; LMG 7429; XL 59/10			match	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 1699	This isolate was isolated by A.C. Hayward B2019	B 2019	B 2019			match	Includes one-letter local strain code(s).
NCPPB 1700	The donor reference is B648 This isolate is also in the collections; ATCC 14982 This isolate was isolated by ex C. Logan XL 59/6	ATCC 14982; B 648; XL 59/6	ATCC 14982; B 648; XL 59/6			match	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 1701	This isolate is also in the collections; ATCC 14983 This isolate was isolated by A.C. Hayward B649 ex C. Logan XL59/9	ATCC 14983; B 649; XL 59/9	ATCC 14983; B 649; XL 59/9			match	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 1711	The donor reference is B1548 This isolate was isolated by ex M.D. Sutton P125	B 1548; P 125	B 1548; P 125			match	Includes one-letter local strain code(s).
NCPPB 1712	This isolate was isolated by A.C. Hayward B1334	B 1334	B 1334			match	Includes one-letter local strain code(s).
NCPPB 1713	This isolate was isolated by A.C. Hayward B912	B 912	B 912			match	Includes one-letter local strain code(s).
NCPPB 1714	This isolate was isolated by A.C. Hayward B744	B 744	B 744			match	Includes one-letter local strain code(s).
NCPPB 1715	This isolate was isolated by A.C. Hayward B1853	B 1853	B 1853			match	Includes one-letter local strain code(s).
NCPPB 1717	The donor reference is B913	B 913	B 913			match	Includes one-letter local strain code(s).
NCPPB 1737	This isolate was isolated by R.A. Lelliott X.a.7a	A 7A			A 7A	mismatch	
NCPPB 1738	This isolate was isolated by R.A. Lelliott X.a.5	A 5			A 5	mismatch	
NCPPB 1754	The donor reference is HACC-179 This isolate is also in the collections; ATCC 17992 This isolate was isolated by ex M.C. Srinivasan	ATCC 17992; HACC 179	ATCC 17992; HACC 179			match	
NCPPB 1755	The donor reference is HACC-180 This isolate is also in the collections; ATCC 17993	ATCC 17993; HACC 180	ATCC 17993; HACC 180			match	
NCPPB 1756	The donor reference is HACC-181 This isolate is also in the collections; ATCC 17994, ICMP 5746, LMG 846	ATCC 17994; HACC 181; ICMP 5746; LMG 846	ATCC 17994; HACC 181; ICMP 5746; LMG 846			match	
NCPPB 1757	The donor reference is HACC-182 This isolate is also in the collections; ATCC 17995, PDDCC 57 22, LMG 557, ICMP 5722	ATCC 17995; HACC 182; ICMP 5722; LMG 557; PDDCC 57	ATCC 17995; HACC 182; ICMP 5722; LMG 557; PDDCC 57			match	
NCPPB 1758	The donor reference is HACC-183 This isolate is also in the collections; ATCC 17996, ICMP 5725, LMG 867	ATCC 17996; HACC 183; ICMP 5725; LMG 867	ATCC 17996; HACC 183; ICMP 5725; LMG 867			match	
NCPPB 1759	This isolate was isolated by ex M.C. Srinivasan 1871 The source of this isolate was ex M.J. Thirumalachar HACC-184	HACC 184; SRINIVASAN 1871	HACC 184		SRINIVASAN 1871	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1760	The donor reference is HACC-185 This isolate is also in the collections; ATCC 17998, ICMP 5751, LMG 868	ATCC 17998; HACC 185; ICMP 5751; LMG 868	ATCC 17998; HACC 185; ICMP 5751; LMG 868			match	
NCPPB 1765	This isolate was isolated by R.A. Skipp					match	
NCPPB 1774	The donor reference is Pt3	PT 3	PT 3			match	
NCPPB 1785	This isolate was isolated by M. K. Patel					match	
NCPPB 1786	This isolate is also in the collections; ICMP 5724, LMG 686 This isolate was isolated by ex S.G. Desai	ICMP 5724; LMG 686	ICMP 5724; LMG 686			match	
NCPPB 1787	This isolate is also in the collections; ICMP 5758, LMG 9058 This isolate was isolated by M.K. Patel	ICMP 5758; LMG 9058	ICMP 5758; LMG 9058			match	
NCPPB 1811	This isolate was isolated by D.C. Graham					match	
NCPPB 1821	This isolate is also in the collections; CFBP 7120 This isolate was isolated by T. Tominaga	CFBP 7120	CFBP 7120			match	
NCPPB 1822	This isolate is also in the collections; ICPB XF105 This isolate was isolated by R.A. Lelliott	ICPB XF105; XF 105	XF 105		ICPB XF105	mismatch	
NCPPB 1826	This isolate was isolated by G.E. Jones C555	C 555			C 555	mismatch	
NCPPB 1827	This isolate is also in the collections; ICMP 5748, LMG 8021 This isolate was isolated by K.A. Sabet Rhyn 1	ICMP 5748; LMG 8021; RHYN 1	ICMP 5748; LMG 8021		RHYN 1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1828	This isolate is also in the collections; ICMP 5730, LMG 863 This isolate was isolated by K.A. Sabet Euph 1	EUPH 1; ICMP 5730; LMG 863	ICMP 5730; LMG 863		EUPH 1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1829	This isolate was isolated by K.A. Sabet Jat 100	JAT 100	JAT 100			match	
NCPPB 1830	The source of this isolate was ex H. Koike 310	KOIKE 310			KOIKE 310	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1832	This isolate is also in the collections; ATCC 19045, ICMP 1488, LMG 677 This isolate was isolated by ex D.W. Dye ZZ28	ATCC 19045; ICMP 1488; LMG 677; ZZ 28	ATCC 19045; ICMP 1488; LMG 677; ZZ 28			match	
NCPPB 1833	This isolate is also in the collections; ICMP 5727, LMG 695 This isolate was isolated by ex C.F. Robbs ENA-350	ENA 350; ICMP 5727; LMG 695	ENA 350; ICMP 5727; LMG 695			match	
NCPPB 1834	This isolate is also in the collections; ICMP 5741, LMG 773, CFBP 7153, ATCC 49073 This isolate was isolated by ex C.F. Robbs ENA-300	ATCC 49073; CFBP 7153; ENA 300; ICMP 5741; LMG 773	ATCC 49073; CFBP 7153; ENA 300; ICMP 5741; LMG 773			match	
NCPPB 1836	The source of this isolate was ex J.R. Wallin 10b	WALLIN 10B			WALLIN 10B	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1837	This isolate is also in the collections; ICMP 5744, LMG 843, CFBP 2540 The source of this isolate was ex J.R. Wallin 3	CFBP 2540; ICMP 5744; LMG 843; WALLIN 3	CFBP 2540; ICMP 5744; LMG 843		WALLIN 3	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1838	This isolate is also in the collections; ICMP 333, ATCC 11648, CFBP 7112, LMG 8752 This isolate was isolated by ex W.H. Burkholder XV18	ATCC 11648; CFBP 7112; ICMP 333; LMG 8752; XV 18	ATCC 11648; CFBP 7112; ICMP 333; LMG 8752; XV 18			match	
NCPPB 1839	This isolate was isolated by ex A.P. Viegas The source of this isolate was ex C.F. Robbs ENA-250	ENA 250	ENA 250			match	
NCPPB 1841	This isolate was isolated by ex C.F. Robbs ENA-265	ENA 265	ENA 265			match	
NCPPB 1925	This isolate was isolated by ex E. Hellmers The source of this isolate was ex ATCC 11726 ex W.H. Burkholder XB10	ATCC 11726; XB 10	ATCC 11726; XB 10			match	
NCPPB 1929	This isolate is also in the collections; ITCC B47 The source of this isolate was ex M.K. Patel	B 47; ITCC B47	ITCC B47		B 47	mismatch	
NCPPB 1930	This isolate was isolated by ex W.H.Burkholder HI					match	
NCPPB 1932	This isolate is also in the collections; ICMP 5743, LMG 731, ATCC 49072 This isolate was isolated by ex D. Yirgou I-l	ATCC 49072; ICMP 5743; LMG 731	ATCC 49072; ICMP 5743; LMG 731			match	
NCPPB 1933	This isolate was isolated by ex D. Yirgou I-2	I 2			I 2	mismatch	
NCPPB 1934	This isolate was isolated by ex K.F. Baker					match	
NCPPB 1935	This isolate is also in the collections; ATCC 23390, ICMP 80, LMG 787 This isolate was isolated by N. Okabe The source of this isolate was ex D.W. Dye ZT2 ex N. Okabe	ATCC 23390; ICMP 80; LMG 787; ZT 2	ATCC 23390; ICMP 80; LMG 787; ZT 2			match	
NCPPB 1936	The source of this isolate was ex D.N. Srivastava					match	
NCPPB 1938	The source of this isolate was ex P.A. Ark PA					match	
NCPPB 1939	The source of this isolate was ex L.A. McFadden XP6	XP 6	XP 6			match	
NCPPB 1942	The source of this isolate was ex D.W. Dye ZQ1 ex W.J. Dowson 175 ex R.M, Natrass	DOWSON 175; ZQ 1	ZQ 1		DOWSON 175	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1943	This isolate is also in the collections; ICMP1409 The source of this isolate was ex J.R. Wallin 20	ICMP 1409; WALLIN 20	ICMP 1409		WALLIN 20	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1944	The donor reference is ICPB XT15 This isolate is also in the collections; ICMP 1409, LMG 679, CFBP 2541 The source of this isolate was ex J.R. Wallin 60-1	CFBP 2541; ICMP 1409; ICPB XT15; LMG 679; WALLIN 60-1; XT 15	CFBP 2541; ICMP 1409; LMG 679; XT 15		ICPB XT15; WALLIN 60-1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1945	The source of this isolate was ex W.A.F. Hagborg 1910	HAGBORG 1910			HAGBORG 1910	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1946	This isolate is also in the collections; ICMP 1404, LMG 860, ATCC 49079 The source of this isolate was ex R. Lincoln Lll	ATCC 49079; ICMP 1404; LMG 860	ATCC 49079; ICMP 1404; LMG 860			match	
NCPPB 1974	This isolate is also in the collections; ATCC 13637; CCM 1640; NCTC 10275; NCIMB 9203; NCIMB 9203; DSM 50170; NCPPB 1974;	ATCC 13637; CCM 1640; DSM 50170; NCIMB 9203; NCPPB 1974; NCTC 10275	ATCC 13637; CCM 1640; DSM 50170; NCIMB 9203; NCPPB 1974; NCTC 10275			match	
NCPPB 1975						match	
NCPPB 1981	The donor reference is 332 This isolate was isolated by ex E. Billing W135	W 135			W 135	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2005	The donor reference is B3100 This isolate is also in the collections; ICPB XM130, ICMP 2870, CFBP 7123, DSM 24447, LMG 785, ATCC 49084 This isolate was isolated by ex D. Yirgou	ATCC 49084; B 3100; CFBP 7123; DSM 24447; ICMP 2870; ICPB XM130; LMG 785; XM 130	ATCC 49084; B 3100; CFBP 7123; DSM 24447; ICMP 2870; LMG 785; XM 130		ICPB XM130	mismatch	Includes one-letter local strain code(s).
NCPPB 2011	This isolate was isolated by F.W. Catton C596	C 596			C 596	mismatch	
NCPPB 2016	This isolate was isolated by J. Oxtoby X.H.l					match	
NCPPB 2031	The donor reference is XCB-2	XCB 2	XCB 2			match	
NCPPB 2044	The donor reference is 15984					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2057	The donor reference is Hel 1 This isolate is also in the collections; ICMP 5778, LMG 735	HEL 1; ICMP 5778; LMG 735	HEL 1; ICMP 5778; LMG 735			match	
NCPPB 2058	This isolate is also in the collections; ICMP 5159 This isolate was isolated by K.A. Sabet Phas 2	ICMP 5159; PHAS 2	ICMP 5159; PHAS 2			match	
NCPPB 2059	This isolate was isolated by K.A. Sabet Vig 1	VIG 1	VIG 1			match	
NCPPB 2060	This isolate was isolated by K.A. Sabet Rhyn 2	RHYN 2			RHYN 2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2061	This isolate is also in the collections; CFBP 7113 This isolate was isolated by K.A. Sabet Vig 3	CFBP 7113; VIG 3	CFBP 7113; VIG 3			match	
NCPPB 2062	This isolate is also in the collections; ICMP 5718, LMG 497 This isolate was isolated by K.A. Sabet Alf 1	ALF 1; ICMP 5718; LMG 497	ALF 1; ICMP 5718; LMG 497			match	
NCPPB 2063	This isolate was isolated by K.A. Sabet Caj 1	CAJ 1	CAJ 1			match	
NCPPB 2064	This isolate was isolated by K.A. Sabet Dol 3	DOL 3	DOL 3			match	
NCPPB 2066	This isolate is also in the collections; ICMP 5745, LMG 844 This isolate was isolated by K.A. Sabet Phyl 1	ICMP 5745; LMG 844; PHYL 1	ICMP 5745; LMG 844; PHYL 1			match	
NCPPB 2067	This isolate was isolated by K.A. Sabet Euph 3	EUPH 3			EUPH 3	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 2095	This isolate was isolated by D.C. Graham					match	
NCPPB 2097						match	
NCPPB 2099						match	
NCPPB 2147	This isolate was isolated by L. Behr 1	BEHR 1	BEHR 1			match	
NCPPB 2181	This isolate was isolated by T. Tominaga X1-11-2	X 1-11-2	X 1-11-2			match	Includes one-letter local strain code(s).
NCPPB 2182	This isolate is also in the collections; ICMP 5780, LMG 732 This isolate was isolated by ex W. Kamerman S131-84	ICMP 5780; LMG 732; S 131-84	ICMP 5780; LMG 732; S 131-84			match	Includes one-letter local strain code(s).
NCPPB 2183	This isolate was isolated by ex W. Kamerman S148-81	S 148-81	S 148-81			match	Includes one-letter local strain code(s).
NCPPB 2190	This isolate is also in the collections; ICMP 5729, LMG 699 This isolate was isolated by C. F. Robbs ENA-568	ENA 568; ICMP 5729; LMG 699	ENA 568; ICMP 5729; LMG 699			match	
NCPPB 2217	This isolate is also in the collections; ATCC 33914;CECT 7646;CNBP 1192;DSM 7250;ICMP 4298;ICPB XA138;LMG 5856 This isolate was isolated by C.G. Panagopoulos 48	ATCC 33914; CECT 7646; CNBP 1192; DSM 7250; ICMP 4298; ICPB XA138; LMG 5856; XA 138	ATCC 33914; CECT 7646; CNBP 1192; DSM 7250; ICMP 4298; LMG 5856; XA 138		ICPB XA138	mismatch	
NCPPB 2218	This isolate is also in the collections; ICPB XA139 This isolate was isolated by C.G. Panagopoulos 75	ICPB XA139; XA 139	XA 139		ICPB XA139	mismatch	
NCPPB 2226	This isolate was isolated by D.C. Graham					match	
NCPPB 2228	This isolate is also in the collections; ICPB XB117, ICMP 2780, LMG 556 This isolate was isolated by A.M. Patel	ICMP 2780; ICPB XB117; LMG 556; XB 117	ICMP 2780; LMG 556; XB 117		ICPB XB117	mismatch	
NCPPB 2229	This isolate is also in the collections; ICPB XL107, ICMP 5738, LMG 9048 This isolate was isolated by A.M. Patel	ICMP 5738; ICPB XL107; LMG 9048; XL 107	ICMP 5738; LMG 9048; XL 107		ICPB XL107	mismatch	
