audit_category	priority	ncppb_number	ncppb_current_name	biosample_pair_count	biosample_accessions	identity_evidence	ncbi_organism_names	taxonomy_status	pathovar_status	assembly_accessions	sra_run_accessions	sequence_linkage_audit_verdict	final_sequence_disposition	allowed_analysis_scope	strictly_excluded_analysis_scope	tree_tip_label_rule	minimum_next_action	rationale	biosample_evidence_urls	resource_evidence_url	ncbi_taxonomy_url	external_taxonomy_or_literature_source	pipeline_review_decision_advice
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023	1	SAMN19988978	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. heliotropii	same_genus_different_species	same_pathovar	GCF_019201405.1	SRR15305419	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988978	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201405.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487869&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2346	Xanthomonas phaseoli pv. passiflorae (Pereira 1969) Harrison et al. 2023	1	SAMN19988995	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. passiflorae	same_genus_different_species	same_pathovar	GCF_019201075.1	SRR15305435	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988995	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201075.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487883&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2372	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	2	SAMN42175581; SAMN19988979	primary_ncppb_pairs=2; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. fici	same_genus_different_species	same_pathovar	GCF_019201375.1; GCF_041463625.1	SRR15305418; SRR29651791; SRR30037665	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175581; https://www.ncbi.nlm.nih.gov/biosample/SAMN19988979	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201375.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2373	Xanthomonas euvesicatoria pv. carissae (Moniz et al. 1964) Harrison et al. 2023	1	SAMN19988980	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. carissae	same_genus_different_species	same_pathovar	GCF_019201365.1	SRR15305433	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988980	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201365.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487857&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2475	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	2	SAMN26688428; SAMEA3139044	primary_ncppb_pairs=0; strong_collection_pairs=2; conflicting_ncppb_numbers=0	Xanthomonas citri pv. viticola	same_genus_different_species	same_pathovar	GCF_000723725.2; GCF_053538855.1		sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN26688428; https://www.ncbi.nlm.nih.gov/biosample/SAMEA3139044	https://www.ncbi.nlm.nih.gov/assembly/GCF_000723725.2	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487899&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2498	Xanthomonas euvesicatoria pv. convolvuli (Nagarkoti et al.1973) Harrison et al. 2023	1	SAMN19988981	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. convolvuli	same_genus_different_species	same_pathovar	GCF_019201245.1	SRR15305411	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988981	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201245.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487860&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2877	Xanthomonas campestris pv. cannabis Severin 1978	1	SAMN03164131	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas cannabis pv. cannabis	same_genus_different_species	same_pathovar	GCF_000802365.1	SRR4718189	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131	https://www.ncbi.nlm.nih.gov/assembly/GCF_000802365.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1885894&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
cross_genus_conflict	P1	NCPPB 2930	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	1	SAMN41764005	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Sphingomonas sp. NCPPB 2930	different_lineage	observed_pathovar_unresolved	GCF_042867205.1	SRR29357488	identity_link_confirmed_but_cross_genus_exclusion	exclude_from_xanthomonas_main_dataset	retain_only_as_ncppb_ncbi_association_evidence; independent_reidentification	xanthomonas_genus_tree; species_tree; ANI_reference_set; pathovar_analysis; pathogenicity_analysis	do_not_place_on_xanthomonas_tree	check original collection and sequencing provenance; independently re-identify or re-isolate before any inclusion	NCPPB identifier is exact in the structured BioSample field, but the NCBI organism is Sphingomonas; do not mix a cross-genus record into the Xanthomonas analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005	https://www.ncbi.nlm.nih.gov/assembly/GCF_042867205.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3162788&mode=Info	NCBI BioSample and Taxonomy record; independent re-identification required	keep_pending; do_not_apply_approve_for_downstream
same_pathovar_historical_or_updated_species_name	P3	NCPPB 2932	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	1	SAMN19988982	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. daturae	same_genus_different_species	same_pathovar	GCF_019201325.1	SRR15305431	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988982	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201325.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487861&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 3005	Xanthomonas marantae Zagatto & Pereira 1963	1	SAMN41997674	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas sp. NCPPB 3005	same_genus_different_species	not_applicable_no_expected_pathovar	GCF_041228095.2	SRR29501315; SRR30016870	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN41997674	https://www.ncbi.nlm.nih.gov/assembly/GCF_041228095.2	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3240913&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3079	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023	1	SAMN19988983	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. paulliniae	same_genus_different_species	same_pathovar	GCF_019201285.1	SRR15305429	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988983	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201285.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487884&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3114	Xanthomonas citri pv. merremiae (Pant & Kulkarni 1976) Harrison et al. 2023	1	SAMN19988993	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. merremiae	same_genus_different_species	same_pathovar	GCA_019201545.1	SRR15305415	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988993	https://www.ncbi.nlm.nih.gov/assembly/GCA_019201545.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487877&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 3162	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	1	SAMN22555461	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas citri	same_genus_different_species	observed_pathovar_unresolved	GCF_020783685.1	SRR22272560	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN22555461	https://www.ncbi.nlm.nih.gov/assembly/GCF_020783685.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=346&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 3213	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	3	SAMN49561543; SAMEA3121378; SAMEA114332029	primary_ncppb_pairs=3; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas citri pv. bilvae; Xanthomonas citri	same_genus_different_species	same_pathovar; observed_pathovar_unresolved	GCF_963669635.1; GCF_001497855.1; GCF_052883735.1	ERR12095368	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561543; https://www.ncbi.nlm.nih.gov/biosample/SAMEA3121378; https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332029	https://www.ncbi.nlm.nih.gov/assembly/GCF_963669635.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487854&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 3440	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	1	SAMN40354570	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas sp. WHRI 8393	same_genus_different_species	observed_pathovar_unresolved	GCF_040203315.1	SRR28281419; SRR30293563	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354570	https://www.ncbi.nlm.nih.gov/assembly/GCF_040203315.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3161574&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3753	Xanthomonas campestris pv. cannabis Severin 1978	1	SAMN03164132	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas cannabis pv. cannabis	same_genus_different_species	same_pathovar	GCF_000802405.1	SRR4718190	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164132	https://www.ncbi.nlm.nih.gov/assembly/GCF_000802405.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1885894&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3759	Xanthomonas euvesicatoria pv. obscurae (Chand & Singh 1994) Harrison et al. 2023	1	SAMN19988984	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. obscurae	same_genus_different_species	same_pathovar	GCF_019201105.1	SRR15305426	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988984	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201105.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2854747&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3795	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	1	SAMN42175582	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. fici	same_genus_different_species	same_pathovar	GCF_041463615.1	SRR29651790; SRR30037664	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175582	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463615.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3796	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	1	SAMN42175583	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. fici	same_genus_different_species	same_pathovar	GCF_041463605.1	SRR29651789; SRR30037663	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175583	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463605.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3797	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	1	SAMN42175584	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. fici	same_genus_different_species	same_pathovar	GCF_041463635.1	SRR29651788; SRR30037662	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175584	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463635.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3886	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	1	SAMN42175585	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. fici	same_genus_different_species	same_pathovar	GCF_041463755.1	SRR29651787; SRR30037661	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175585	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463755.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 3887	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	1	SAMN42175586	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. fici	same_genus_different_species	same_pathovar	GCF_041463645.1	SRR29651786; SRR30037660	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175586	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463645.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 4231	Xanthomonas sp. Dowson 1939	1	SAMN22552841	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris	same_genus_different_species	not_applicable_no_expected_pathovar	GCF_020812995.1	SRR29823162	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552841	https://www.ncbi.nlm.nih.gov/assembly/GCF_020812995.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=339&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
