ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	attention_level	attention_category	final_sequence_use_status	next_action	ncbi_biosample_match_count	ncbi_assembly_count_all_confirmed_links	ncbi_sra_run_count_all_confirmed_links	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_taxonomy_blocked_resource_count	ncbi_data_status	phylogeny_readiness	manual_review_required	metadata_annotation_status	catalogue_host	catalogue_country	biosample_hosts	biosample_geographic_locations	biosample_collection_years	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	eligible_assembly_accessions	eligible_sra_run_accessions	audit_table_pointer
NCPPB 892	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Thysanolaena maxima	Mauritius									
NCPPB 893	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Thysanoleana maxima.	Mauritius									
NCPPB 895	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	2	2	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Saccharum officinarum	Malagasy Republic	Saccharum officinarum	Madagascar; Madagascar: former Malagasy Republic	1960	SAMN36357973; SAMN02439007	GCF_000278075.1; GCF_030551445.2	SRR1045341; SRR25194029	GCF_030551445.2; GCF_000278075.1	SRR25194029; SRR1045341	
NCPPB 896	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Malagasy Republic									
NCPPB 897	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Malagasy Republic									
NCPPB 899	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Reunion									
NCPPB 900	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	1	3	1	3	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Saccharum officinarum	Reunion	Saccharum officinarum; Saccharum officinarum (sugarcane)	Reunion	1960	SAMN56511391; SAMN02854335	GCF_000724905.1	SRR1515236; SRR37629066; SRR37789883	GCF_000724905.1	SRR37629066; SRR37789883; SRR1515236	
NCPPB 901	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Gossypium sp	India	Gossypium sp.	India		SAMN42161496	GCF_056725085.1	SRR29644180; SRR30040125	GCF_056725085.1	SRR29644180; SRR30040125	
NCPPB 902	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Tripsacum laxum. See Mulder (1961).	Sri Lanka	Tripsacum laxum	Sri Lanka	1961	SAMN03140174	GCF_000772775.3		GCF_000772775.3		
NCPPB 916	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Trinidad									
NCPPB 917	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Trinidad									
NCPPB 918	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Malagasy Republic									
NCPPB 922	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Malagasy Republic									
NCPPB 923	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus domestica	South Africa									
NCPPB 924	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus domestica	South Africa									
NCPPB 926	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus domestica	South Africa									
NCPPB 935	present_in_both	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	3	3	4	3	4	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Corylus maxima	USA	Corylus maxima	USA	1939	SAMN41996496; SAMEA7984667; SAMN05559866	GCF_002939845.1; GCF_041228085.2; GCF_905220785.1	ERR5260054; ERR5260059; SRR29500232; SRR30016866	GCF_041228085.2; GCF_905220785.1; GCF_002939845.1	SRR29500232; SRR30016866; ERR5260054; ERR5260059	
NCPPB 936	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Capsicum frutescens	USA									
NCPPB 937	present_in_both	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Matthiola sp	USA	Matthiola sp.	USA		SAMN22552838	GCF_020813295.1	SRR29823159	GCF_020813295.1	SRR29823159	
NCPPB 938	present_in_both	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Lespedeza sp.	USA									
NCPPB 939	present_in_both	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	4	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Hedera helix	USA	Hedera helix	USA; missing; not applicable	1961; 2024; 2020	SAMN08729581; SAMN43284563; SAMN43281910; SAMD00253066	GCF_003064105.1		GCF_003064105.1		
NCPPB 940	present_in_both	Xanthomonas hortorum pv. taraxaci (Niederhauser 1943)Vauterin et al.1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Taraxacum kok-saghyz	USA	Taraxacum kok-saghyz		1942	SAMEA6962652	GCA_903978185.1	ERR4327122	GCA_903978185.1	ERR4327122	
NCPPB 941	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Capsicum frutescens	USA									
NCPPB 942	present_in_both	Xanthomonas campestris pv. barbareae (Burkholder 1941) Dye 1978	Xanthomonas	current_xanthomonas	P2	wgs_reads_require_assembly_and_qc	candidate_after_read_qc_and_assembly	download reads; trim, assemble, then complete genome QC and ANI	1	0	1	0	1	0	confirmed_sequence_available	raw_wgs_reads_require_assembly_and_qc	no	partial_context_metadata	Barbarea vulgaris	USA	Barbarea vulgaris	USA	1939	SAMN57360824		SRR38178868		SRR38178868	
NCPPB 969	present_in_both	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Lactuca sativa	USA									
NCPPB 970	present_in_both	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Lactuca sp. (wild lettuce).	USA									
NCPPB 971	present_in_both	Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Gardenia sp	USA	Gardenia sp.	USA		SAMN42284547	GCF_041492255.1	SRR29695345; SRR30037791	GCF_041492255.1	SRR29695345; SRR30037791	
NCPPB 972	present_in_both	Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Gardenia sp.	USA	Gardenia sp.	USA		SAMN42284548	GCF_041519315.1	SRR29695344; SRR30037790	GCF_041519315.1	SRR29695344; SRR30037790	
NCPPB 973	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P1	manual_review_required_non_audit	not_automatically_usable	review the remaining identity/taxonomy reason in manual_review_candidates.tsv; approve or reject before sequence use	4	2	1	2	1	0	confirmed_sequence_available	assembly_available_qc_required	yes	complete_host_geography_date_source	Hordeum vulgare	USA	Barley	USA: Minnesota; missing; not applicable	2020	SAMN23026111; SAMEA2271958; SAMN43281667; SAMD00253072	GCF_020880735.1; GCF_042432025.1	SRR16936500	GCF_020880735.1; GCF_042432025.1	SRR16936500	
NCPPB 974	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Secale cereale.	Canada									
NCPPB 975	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Capsicum frutescens	USA									
NCPPB 976	present_in_both	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas	current_xanthomonas	P3	same_pathovar_historical_or_updated_species_name	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	2	1	2	0	0	9	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_use	yes	complete_host_geography_date_source	Lactuca sp. (Lettuce)	USA	missing; Lactuca sativa	USA; USA: South Carolina	1917	SAMN09704274; SAMN11047482	GCF_012922295.1	SRR7628814; SRR8732949			01_taxonomy_pathovar_audit_49.tsv
NCPPB 983	present_in_both	Xanthomonas campestris pv. barbareae (Burkholder 1941) Dye 1978	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Barbarea vulgaris	USA	Barbarea vulgaris	USA		SAMN22552839	GCF_020813315.3	SRR27397526; SRR29823158	GCF_020813315.3	SRR27397526; SRR29823158	
NCPPB 984	present_in_both	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Corylus maxima.	USA									
NCPPB 985	present_in_both	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P2	species_or_pathovar_unresolved	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	1	1	3	0	0	8	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_use	yes	partial_context_metadata	Dieffenbachia sp.	USA		Belgium: Merelbeke	2014	SAMN02903999	GCF_001401545.2	SRR1509951; SRR1522076; SRR3715273			01_taxonomy_pathovar_audit_49.tsv
NCPPB 986	present_in_both	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Dieffenbachia sp.	USA									
NCPPB 987	present_in_both	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Hedera helix	USA									
NCPPB 989	present_in_both	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Holcus sp.	USA	Holcus sp.	USA	1942	SAMN03140188	GCF_000772795.1		GCF_000772795.1		
NCPPB 990	present_in_both	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Matthiola sp	USA									
NCPPB 993	present_in_both	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P2	wgs_reads_require_assembly_and_qc	candidate_after_read_qc_and_assembly	download reads; trim, assemble, then complete genome QC and ANI	1	0	1	0	1	0	confirmed_sequence_available	raw_wgs_reads_require_assembly_and_qc	no	partial_context_metadata	Lespedeza sp. (Korean lespediza)	USA	Lespedeza	USA	1944	SAMN42278571		SRR29692755		SRR29692755	
NCPPB 994	present_in_both	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Tectona grandis	India									
NCPPB 1009	present_in_both	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Zinnia sp.	Zimbabwe									
NCPPB 1014	present_in_both	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Vitis woodrowii	India									
NCPPB 1025	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Brassica oleracea var. botrytis	Malawi									
NCPPB 1043	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Brassica oleracea	Papa New Guinea	Brassica oleracea	Papua New Guinea	1961	SAMN36368321	GCA_035023025.1	SRR25205308	GCA_035023025.1	SRR25205308	
NCPPB 1046	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	India									
NCPPB 1048	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium hirsutum.	Zambia									
NCPPB 1050	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum sp.	Guyana									
NCPPB 1056	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Phaseolus vulgaris	Ethiopia	Phaseolus vulgaris	United Kingdom	1961	SAMN03142809	GCF_000786945.1	SRR2052425	GCF_000786945.1	SRR2052425	
NCPPB 1058	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Phaseolus vulgaris	Ethiopia	Phaseolus vulgaris	Ethiopia	1961	SAMN03142815	GCF_000786935.1	SRR2052426	GCF_000786935.1	SRR2052426	
NCPPB 1059	present_in_both	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas	current_xanthomonas	P2	wgs_reads_require_assembly_and_qc	candidate_after_read_qc_and_assembly	download reads; trim, assemble, then complete genome QC and ANI	1	0	2	0	2	0	confirmed_sequence_available	raw_wgs_reads_require_assembly_and_qc	no	partial_context_metadata	Papaver somniferum	Ethiopia	Papaver somniferum	Ethiopia	1961	SAMN56511356		SRR37629095; SRR37789912		SRR37629095; SRR37789912	
NCPPB 1060	present_in_both	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Sorghum vulgare.	Ethiopia	Sorghum bicolor	Ethiopia	1961	SAMN03140122	GCF_000772715.2		GCF_000772715.2		
NCPPB 1061	present_in_both	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	1	3	1	3	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Plantago lanceolata	Ethiopia	Plantago lanceolata	Ethiopia	1961	SAMN56511357; SAMN22552840	GCF_020813005.1	SRR29823165; SRR37629094; SRR37789911	GCF_020813005.1	SRR37629094; SRR37789911; SRR29823165	
NCPPB 1062	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Dioscorea esculenta	Papua New Guinea	Dioscorea esculenta	Papua New Guinea	1961	SAMN42161497	GCF_041481705.1	SRR29644179; SRR30040145	GCF_041481705.1	SRR29644179; SRR30040145	
NCPPB 1063	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P1	manual_review_required_non_audit	not_automatically_usable	review the remaining identity/taxonomy reason in manual_review_candidates.tsv; approve or reject before sequence use	2	2	2	1	2	5	confirmed_sequence_available	assembly_available_qc_required	yes	partial_context_metadata	Ricinus communis	Ethiopia	Ricinus communis	Ethiopia; NA	1961	SAMN42178441; SAMN26561900	GCF_029872435.1; GCF_053571465.1	SRR29654668; SRR30041333	GCF_053571465.1	SRR29654668; SRR30041333	
NCPPB 1067	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Raphanus sativus (Chinese radish)	New Hebrides	Raphanus sativus	Vanuatu		SAMN22555470	GCF_020783795.1	SRR22272567	GCF_020783795.1	SRR22272567	
NCPPB 1068	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Nicotiana tabacum	Malawi	Nicotiana tabacum	Malawi	1961	SAMN42161498	GCF_041479385.1	SRR29644178; SRR30040144	GCF_041479385.1	SRR29644178; SRR30040144	
NCPPB 1117	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	India									
NCPPB 1124	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Glycine max	Zambia									
NCPPB 1128	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Phaseolus vulgaris	Jamaica		Jamaica	1961	SAMN03777426	GCF_001043115.1	SRR2094884	GCF_001043115.1	SRR2094884	
NCPPB 1129	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Brassica oleracea	Uganda									
NCPPB 1131	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	4	2	4	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Musa paradisiaca	Eastern Samoa	Musa x paradisiaca	American Samoa	1961	SAMN56511358; SAMN00752559	GCF_000226895.1; GCF_056612685.1	SRR364085; SRR364086; SRR37629083; SRR37789900	GCF_056612685.1; GCF_000226895.1	SRR37629083; SRR37789900; SRR364085; SRR364086	
