ncppb_number	audit_category	priority	biosample_accession	identity_match_status	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	conflicting_ncppb_numbers	ncbi_organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	taxonomy_status	pathovar_status	assembly_accessions	sra_run_accessions	sequence_linkage_audit_verdict	final_sequence_disposition	immediate_action	biosample_evidence_url	resource_evidence_url	ncbi_taxonomy_url
NCPPB 3114	same_pathovar_historical_or_updated_species_name	P3	SAMN19988993	confirmed_exact_ncppb_identifier	NCPPB 3114	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. merremiae	487877	Merremia gangetica	India	not collected	same_genus_different_species	same_pathovar	GCA_019201545.1	SRR15305415	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988993	https://www.ncbi.nlm.nih.gov/assembly/GCA_019201545.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487877&mode=Info
NCPPB 3162	species_or_pathovar_unresolved	P2	SAMN22555461	confirmed_exact_ncppb_identifier	NCPPB 3162	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas citri	346	Sorghum sp.	India	not collected	same_genus_different_species	observed_pathovar_unresolved	GCF_020783685.1	SRR22272560	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN22555461	https://www.ncbi.nlm.nih.gov/assembly/GCF_020783685.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=346&mode=Info
NCPPB 3213	species_or_pathovar_unresolved	P2	SAMN49561543	confirmed_exact_ncppb_identifier	NCPPB 3213	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas citri pv. bilvae	487854	Aegle marmelos	India	1982	same_genus_different_species	same_pathovar	GCF_052883735.1		sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561543	https://www.ncbi.nlm.nih.gov/assembly/GCF_052883735.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487854&mode=Info
NCPPB 3213	species_or_pathovar_unresolved	P2	SAMEA3121378	confirmed_exact_ncppb_identifier	NCPPB 3213	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas citri pv. bilvae	487854				same_genus_different_species	same_pathovar	GCF_001497855.1		sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMEA3121378	https://www.ncbi.nlm.nih.gov/assembly/GCF_001497855.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487854&mode=Info
NCPPB 3213	species_or_pathovar_unresolved	P2	SAMEA114332029	confirmed_exact_ncppb_identifier	NCPPB 3213	ncppb_number	primary	isolate	structured_exact_identifier		Xanthomonas citri	346	Aegle marmelos		1980	same_genus_different_species	observed_pathovar_unresolved	GCF_963669635.1	ERR12095368	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332029	https://www.ncbi.nlm.nih.gov/assembly/GCF_963669635.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487854&mode=Info
NCPPB 3440	species_or_pathovar_unresolved	P2	SAMN40354570	confirmed_exact_ncppb_identifier	NCPPB 3440	ncppb_number	primary	identity_aliases	structured_exact_identifier		Xanthomonas sp. WHRI 8393	3161574	Daucus carota	Brazil	1985	same_genus_different_species	observed_pathovar_unresolved	GCF_040203315.1	SRR28281419; SRR30293563	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354570	https://www.ncbi.nlm.nih.gov/assembly/GCF_040203315.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3161574&mode=Info
NCPPB 3753	same_pathovar_historical_or_updated_species_name	P3	SAMN03164132	confirmed_exact_ncppb_identifier	NCPPB 3753	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas cannabis pv. cannabis	1885894	Cannabis sativa	Japan: Tochigi	1982-08	same_genus_different_species	same_pathovar	GCF_000802405.1	SRR4718190	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164132	https://www.ncbi.nlm.nih.gov/assembly/GCF_000802405.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1885894&mode=Info
NCPPB 3759	same_pathovar_historical_or_updated_species_name	P3	SAMN19988984	confirmed_exact_ncppb_identifier	NCPPB 3759	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. obscurae	2854747	Ipomea obscura	India	not collected	same_genus_different_species	same_pathovar	GCF_019201105.1	SRR15305426	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988984	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201105.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2854747&mode=Info
NCPPB 3795	same_pathovar_historical_or_updated_species_name	P3	SAMN42175582	confirmed_exact_ncppb_identifier	NCPPB 3795	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. fici	487866	Ficus microcarpa var. hillii	Australia	1991	same_genus_different_species	same_pathovar	GCF_041463615.1	SRR29651790; SRR30037664	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175582	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463615.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info
NCPPB 3796	same_pathovar_historical_or_updated_species_name	P3	SAMN42175583	confirmed_exact_ncppb_identifier	NCPPB 3796	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. fici	487866	Unknown	Australia	1991	same_genus_different_species	same_pathovar	GCF_041463605.1	SRR29651789; SRR30037663	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175583	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463605.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info
NCPPB 3797	same_pathovar_historical_or_updated_species_name	P3	SAMN42175584	confirmed_exact_ncppb_identifier	NCPPB 3797	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. fici	487866	Unknown	Australia	1991	same_genus_different_species	same_pathovar	GCF_041463635.1	SRR29651788; SRR30037662	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175584	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463635.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info
NCPPB 3886	same_pathovar_historical_or_updated_species_name	P3	SAMN42175585	confirmed_exact_ncppb_identifier	NCPPB 3886	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. fici	487866	Ficus religiosa	India	1993	same_genus_different_species	same_pathovar	GCF_041463755.1	SRR29651787; SRR30037661	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175585	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463755.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info
NCPPB 3887	same_pathovar_historical_or_updated_species_name	P3	SAMN42175586	confirmed_exact_ncppb_identifier	NCPPB 3887	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. fici	487866	Unknown	India	1993	same_genus_different_species	same_pathovar	GCF_041463645.1	SRR29651786; SRR30037660	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175586	https://www.ncbi.nlm.nih.gov/assembly/GCF_041463645.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487866&mode=Info
NCPPB 4231	species_or_pathovar_unresolved	P2	SAMN22552841	confirmed_exact_ncppb_identifier	NCPPB 4231	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris	339	Beta vulgaris var. Cicla	United Kingdom	not collected	same_genus_different_species	not_applicable_no_expected_pathovar	GCF_020812995.1	SRR29823162	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552841	https://www.ncbi.nlm.nih.gov/assembly/GCF_020812995.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=339&mode=Info
NCPPB 4232	species_or_pathovar_unresolved	P2	SAMN22552842	confirmed_exact_ncppb_identifier	NCPPB 4232	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris	339	Beta vulgaris var. Cicla	United Kingdom	not collected	same_genus_different_species	not_applicable_no_expected_pathovar	GCF_020813195.1	SRR29823161	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552842	https://www.ncbi.nlm.nih.gov/assembly/GCF_020813195.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=339&mode=Info
NCPPB 4346	species_or_pathovar_unresolved	P2	SAMN10956069	confirmed_exact_ncppb_identifier	NCPPB 4346	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas oryzae	347	Leersia hexandra	China	1980	same_genus_different_species	observed_pathovar_unresolved		SRR8618953	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN10956069	https://www.ncbi.nlm.nih.gov/sra/SRR8618953	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=347&mode=Info
NCPPB 4346	species_or_pathovar_unresolved	P2	SAMN03862116	confirmed_exact_ncppb_identifier	NCPPB 4346	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas oryzae	347		China	1980	same_genus_different_species	observed_pathovar_unresolved	GCF_001276975.2	SRR2133447	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN03862116	https://www.ncbi.nlm.nih.gov/assembly/GCF_001276975.2	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=347&mode=Info
NCPPB 4449	explicit_pathovar_conflict	P1	SAMN21172023	confirmed_exact_collection_identifier	ICMP 16317	collection_number	strong	strain	structured_exact_identifier		Xanthomonas cerealis pv. cerealis	152263	Pistacia vera	Australia:Victoria	2000	same_name	pathovar_mismatch	GCF_021906995.1		sequence_link_confirmed_pathovar_label_restricted	conditional_release_for_genus_tree_qc_ani_only	check original culture/publication and host; calculate ANI/GTDB; require independent evidence before using any pathovar label	https://www.ncbi.nlm.nih.gov/biosample/SAMN21172023	https://www.ncbi.nlm.nih.gov/assembly/GCF_021906995.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=152263&mode=Info
NCPPB 4594	species_or_pathovar_unresolved	P2	SAMN56511377	confirmed_exact_ncppb_identifier	NCPPB 4594	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas cannabis pv. phaseoli	1885902	Phaseolus vulgaris	Rwanda	2013	same_genus_different_species	not_applicable_no_expected_pathovar		SRR37629081; SRR37789898	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511377	https://www.ncbi.nlm.nih.gov/sra/SRR37629081	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1885902&mode=Info
